premise,choice1,choice2,question,label,idx
Terorist je sprožil bombo.,Bomba je eksplodirala.,Bomba je bila deaktivirana.,effect,0,70
Policija je osumljencu vklenila lisice.,Policija je zahtevala varnostno kopijo.,Osumljenec se je aretaciji uprl.,cause,1,71
"Oblasti so obljubile, da bodo zaščitile identiteto žrtve kaznivega dejanja.","Žrtev se je trudila, da bi se spomnila podrobnosti o zločinu.",Ime žrtve so prikrili pred javnostjo.,effect,1,72
Moška oblačila se ohlapno prilegajo.,Kupil jih je v prodaji.,Izgubil je težo.,cause,1,73
Ura je nehala odbijati.,"Vzel sem si dodaten čas, da sem se pripravil.",Ura je pokazala napačen čas.,effect,1,74
Moški je zaprl dežnik.,Izstopil je iz avta.,Pristopil je k stavbi.,cause,1,75
Moški si je zaželel cigarete.,"Družina ga je pozvala, naj opusti kajenje.",Bil je zasvojen z nikotinom.,cause,1,76
Moški je spustil hrano na tla.,Njegov pes je skočil nanj.,"Njegov pes je stekel, da bi pojedel hrano.",effect,1,77
Deklica je bila jezna na svojega prijatelja.,Deklica je razširila govorice o svojem prijatelju.,Deklica je prijatelju povedala skrivnost.,effect,0,78
Ubežnik se je skril pred policijo.,Policija je primer opustila.,Ubežnik je ostal na prostosti.,effect,1,79
Nagnil sem steklenico.,Tekočina v steklenici je zmrznila.,Tekočina v steklenici se je izlila.,effect,1,80
Ženska je govorila s tujim naglasom.,Prihajala je iz bogate družine.,Preselila se je iz druge države.,cause,1,81
Dečka so zabodla usta.,Pojedel je poper.,Ugasnil je svečo.,cause,0,82
Končal sem stran knjige.,Iztrgal sem naslednjo stran.,Obrnil sem se na naslednjo stran.,effect,1,83
Storitev v restavraciji je bila počasna.,Bilo je veliko praznih miz.,V restavraciji je bila gneča.,cause,1,84
"Videl sem žensko, ki so jo oropali na ulici.",Poklical sem 911.,Pozval sem taksi.,effect,0,85
Bolel me je trebuh,Tekel sem na tekalni stezi.,Jedla sem rojstnodnevno torto.,cause,1,86
Dala sem krožnik v umivalnik.,Končal sem z jedjo.,Večerjo sem izpustil.,cause,0,87
Moški je zaprl knjigo.,Končal je z branjem.,Izzvalo ga je k razmišljanju.,cause,0,88
Fant je roman glasno prebral svojemu dedu.,Njegov dedek je bil gluh.,Njegov dedek je bil slep.,cause,1,89
Noga mi je otrdela.,Obujem čevlje.,Stresal sem z nogo.,effect,1,90
Fotograf je otroka nasmejal.,Fotograf je otrokovo fotografijo hitro posnel.,Fotograf je hitro spremenil otrokovo pozo.,effect,0,91
Okno je bilo nepregledno.,Steklo je bilo obarvano.,Rolete so bile odprte.,cause,0,92
Zdrsnil sem na tla.,Ploščica je bila mokra.,Ploščica je bila razpokana.,cause,0,93
Moški je britvico potisnil po bradi.,Njegova strnišča so rasla.,Njegova strnišča so izginila.,effect,1,94
Ženska je družino peljala na počitnice.,Njen mož je odpuščen.,Prejela je plačni dodatek.,cause,1,95
Ženska se je prebudila.,Vzela je uspavalne tablete.,Njen mož je smrčal.,cause,1,96
Ženska je začutila prijeten vonj.,"Spomnila se je, da je vzela zdravila.",Spomnila se je na otroštvo.,effect,1,97
Lokal se je zaprl.,Bila je gneča.,Ura je bila tretja zjutraj.,cause,1,98
Voznika je policija zaustavila.,Parkiral je.,Hitro je vozil.,cause,1,99
Učitelj se je zvil.,Prepoznala je odsotne študente.,Svojim učencem je priredila pop kviz.,effect,0,100
Potisnil sem nihalo.,Počasi se je ustavilo.,Nihalo je sem ter tja.,effect,1,101
Otrok je brcnil kup blokov.,Stog se je dvignil nad fantovo glavo.,Bloki so se razkropili po vsej preprogi.,effect,1,102
Najstnik je zbežal od doma.,Zanašal se je na starše.,Starši so ga zlorabili.,cause,1,103
Pokvaril sem razgovor za službo.,Anketar je postavljal težka vprašanja.,Predvideval sem vprašanja anketarja.,cause,0,104
Farmacevtska družba je odpoklicala zdravilo.,Uporabniki so poročali o nevarnih stranskih učinkih.,Uporabniki so na recept dobili dopolnitve.,cause,0,105
Moški je pogledal na uro.,"Spoznal je, da je nekaj pozabil.","Spoznal je, da je zgodaj.",effect,1,106
Tla sem namazal s papirnato brisačo.,Polil sem sok na tla.,Tla so bila trajno obarvana.,cause,0,107
Natakar je zavrnil službo pokrovitelja.,Zavetnik je bil sam.,Zavetnik je bil pijan.,cause,1,108
Zmedlo me je profesorjevo predavanje.,Pozorna sem bila na profesorja.,Profesorju sem zastavljala vprašanja.,effect,1,109
Knjiga je bila ocenjena kot neprimerna za otroke.,Šole so ji prepovedale dostop do knjižnic.,"Učitelji so od učencev zahtevali, da jo preberejo.",effect,0,110
Moški je prosil za odpuščanje.,Ženska se mu je smilila.,Ženska se je šalila z njim.,effect,0,111
Po pošti sem prejel paket.,Paket je sprožil mojo radovednost.,Paket sem odnesel na pošto.,effect,0,112
Deskar je ujel val.,Val jo je odnesel na obalo.,Desko je zaveslala v ocean.,effect,0,113
Govornica je razorožila svojega nasprotnika v razpravi.,Govornica je čestitala nasprotnici.,Govornik je zmagal v razpravi.,effect,1,114
Preselil sem se v novo mesto.,Našel sem bolje plačano službo.,Moj sin se je rodil.,cause,0,115
Izognil sem se neposrednemu odgovoru na vprašanje.,Vprašanje mi je postalo neprijetno.,Hotel sem biti iskren.,cause,0,116
Študent je bil pridržan.,Pogovoril se je z učiteljem.,Učitelj je ocenil domačo nalogo.,cause,0,117
Dečku so se tresle roke.,"Načrtoval je, da bo dekle pozval ven.",Dlani so mu bile hladne in prepotene.,cause,0,118
Navijači na stadionu so navijali.,Tekma se je končala izenačeno.,Igralec je zadel.,cause,1,119
Dekle se je s kolesom spustilo po hribu navzdol.,Njeno kolo se je zavrtelo.,Njeno kolo je pospešilo.,effect,1,120
Pred mano je v dolgi vrsti zarezal moški.,Soočil sem se z njim.,Nasmehnila sem se mu.,effect,0,121
V notranjosti vlaka se je stemnilo.,Vlak je potoval skozi predor.,Vlak je pobegnil iz tirov.,cause,0,122
Moški je razmišljal o sliki.,Čutil je strahospoštovanje.,Zgrudil se je.,effect,0,123
Želva se je skrila v lupini.,Jedla je ribo.,Zaznal je plenilca.,cause,1,124
Deklica je obleko predala mlajši sestri.,Oblačila so bila potrgana.,Oblačila je prerasla.,cause,1,125
Zoper osumljenca je pričalo več prič zločina.,Osumljeni je bil oproščen.,Osumljenec je bil obsojen.,effect,1,126
Starši so otroke pustili pri varuški.,Njihov najmlajši otrok je začel obiskovati vrtec.,Načrtovali so praznovanje obletnice.,cause,1,127
Potovanje je trajalo dolgo.,Voznik je govoril vso pot.,Voznik je napačno zavil.,cause,1,128
Izdelek je bil močno oglaševan.,Potrošniki so izdelek prepoznali.,Izdelek je zastarel.,effect,0,129
Milo sem si drgnila med roke.,Milo se je penilo.,Roke so mi otrdele.,effect,0,130
Kravljica je vrgla svoj laso proti konju.,Laso se je prijel za konja.,Konj je kasnil v hlev.,effect,0,131
Skupina je spregledala ženske napake.,Ženska si je oddahnila.,Ženska se je opravičila.,effect,0,132
Deklica je v svojem učbeniku naletela na neznano besedo.,Izraz je poiskala v slovarju.,Udarila je učbenik po sobi.,effect,0,133
Moški je postal invalid.,Družina mu je ponudila finančno podporo.,Njegova družina je prekinila stike z njim.,effect,0,134
Svetilka je bila mrtva.,Sem ga razstavil.,Zamenjal sem baterije.,effect,1,135
Skunk je psa poškropil.,Pes je oddajal neprijeten vonj.,Skunk je taval po gozdu.,effect,0,136
Praskal sem se po koži.,Moj srbež je izginil.,Moja brazgotina je zbledela.,effect,0,137
Babici sem napisal zahvalno pismo.,Postala je pozabljiva.,Poslala mi je darilo.,cause,1,138
Vlomilec je vlomil v hišo.,Lastniki stanovanj so spali.,Vključil se je varnostni alarm.,effect,1,139
"Pridržal sem vrata ženski, ki je vstopila za mano.",Vrata so se zaloputnila.,Ženska se mi je zahvalila.,effect,1,140
Ogledalo v kopalnici se je meglo.,Dekle je vklopilo ventilator.,Deklica se je ličila.,effect,0,141
Varnostnik se je moškega lotil.,Moški je segel v žep.,Moški je pokazal orožje.,cause,1,142
Voznik je zavrtel volan.,Avto se je ustavil.,Avto se je obrnil.,effect,1,143
Vojska je bitko predala.,Prešteli so jih.,Vdrli so v mesto.,cause,0,144
Mornarica je ladjo bombardirala.,Ladja je strmoglavila v pomol.,Ladijski ostanki so se potopili v morju.,effect,1,145
Likal sem si srajco.,Bilo je čisto.,Bilo je nagubano.,cause,1,146
Dekletu se je vrtelo v glavi.,Izgubila je ravnotežje.,Naredila je raztežaje.,effect,0,147
Voznik se je ustavil ob robu ceste.,Šel je skozi križišče.,Opazil je nasedlo vozilo.,cause,1,148
Bolnišnica je pacienta poslala domov.,Bolnikovi simptomi so se očistili.,Pacientova družina ga je obiskala.,cause,0,149
Otrok je ujel življenjsko nevarno bolezen.,Ni se cepila.,Posvojena je bila.,cause,0,150
V gledališču smo našli prazne sedeže.,Film se je začel.,Posedli smo se.,effect,1,151
Starša sta prepoznala hčerino ustvarjalnost.,"Naučili so jo, kako voziti kolo.","Spodbujali so jo, da je postala umetnica.",effect,1,152
Fant je obrnil pokrov na kozarcu.,Kozarec se je segrel.,Pokrov se je odlepil.,effect,1,153
Ženska je prejela diplomo.,Vpisala se je na fakulteto.,Diplomirala je na fakulteti.,cause,1,154
Zmešal sem vrč z vodo.,Šel sem gor.,Pretekel sem pet kilometrov.,cause,1,155
Na pločniku sem naletel na lužo.,Skočil sem čez lužo.,Igral sem v luži.,effect,0,156
Ženska si je zakrila ušesa.,Ogenj je požrl.,Ženska je zadišala po dimu.,cause,0,157
Arheolog je mesto izkopal.,Izkopavala je starodavne predmete.,Prebrala je zgodovino spletnega mesta.,effect,0,158
Občinstvo je iz komedije izrukalo oder.,Povedal je rasistični vic.,Občinstvo je zabaval.,cause,0,159
Trener je svojemu igralcu dal petico.,Igralec je dobil enajstmetrovko.,Igralec je dosegel točko.,cause,1,160
Žogo sem vrgel navzgor.,Žoga se je valjala po tleh.,Žoga je zadela strop.,effect,1,161
V sapi mi je zadišalo po česnu.,Obrisala sem si usta.,Umil sem si zobe.,effect,1,162
Moški se je izgubil.,Prosil je za pot.,Narisal je zemljevid.,effect,0,163
Otrok je mamici potegnil lase.,Otrok je rignil.,Mati je storila grimaso.,effect,1,164
Stala sem na eni nogi.,Moje stanje se je omajalo.,Pokleknil sem.,effect,0,165
Potisnil sem stopalko za plin.,Avto je pospešil.,Vrata avtomobila so se odprla.,effect,0,166
Moj avto je bil vlečen.,Nepravilno sem parkiral.,Skočil sem baterijo.,cause,0,167
Ženska se je rešila zločina.,Njenega sokrivca so prijeli.,Uničila je dokaze.,cause,1,168
Prah se je spustil z mize.,Pisalno mizo sem obrisal s krpo.,Odstranil sem knjige z mize.,cause,0,169
Motorist je zavrtel plin.,Motocikel se je ustavil.,Motocikel je streljal naprej.,effect,1,170
Učitelj je učenca ujel žvečilni gumi.,Žvečilni gumi se je prilepil na študentski čevelj.,Študent je izpljunil dlesen.,effect,1,171
Gostitelj je gostom postregel večerjo.,Njegovi gostje so bili prijazni.,Njegovi gostje so bili lačni.,effect,0,172
Fant se je povzpel na drevo.,Mačka se je zataknila na drevesu.,Ptica je v drevesu zgradila gnezdo.,cause,0,173
Stol je zacvilil.,Moški je odnesel stol v svojo pisarno.,Moški je potegnil stol bližje svoji mizi.,cause,1,174
Oče je izključil otroško televizijo.,Za otroke je bil čas za spanje.,Otroci so gledali risanke.,cause,0,175
Moški je zadržal sapo.,Šel je pod vodo.,Stopil je po vodi.,cause,0,176
Nespretno sem naletel na neznanca.,Zbežal sem.,Sem se mu opravičila.,effect,1,177
Čoln se je prevrnil.,Kapitan je dvignil jadro.,Ujel ga je orkan.,cause,1,178
"Mati je sumila, da njen sin laže.",Ni hotel govoriti z njo.,Izogibal se je očesnemu stiku z njo.,cause,1,179
Mladi ženski je bil zavrnjen vstop v lokal.,Prijatelji so jo ustavili.,Pozabila je osebno izkaznico.,cause,1,180
Na luni je nastal krater.,Komet je šel mimo lune.,Komet je trčil v luno.,cause,1,181
Semna sem posadila v zemljo.,Zalil sem zemljo.,Semena so vzklila.,effect,1,182
"Dobrotnik je prosil, da ostane anonimen.",Želel je ohraniti svojo zasebnost.,Podprl je vzrok za svojo donacijo.,cause,0,183
Ženska se je sramovala brazgotine na obrazu.,Neznancem je razložila brazgotino.,Brazgotino je skrila z ličili.,effect,1,184
Zdravnik je pacientovo rentgensko slikal roko.,"Ugotovil je, da je bila pacientu zlomljena roka.",Pacientu je dal roko v gips.,effect,0,185
Fant je vedro napolnil s peskom.,V pesku je nabiral školjke.,Gradil je peščeni grad.,cause,1,186
Ženska je nadgradila računalniško strojno opremo.,V računalniku je izbrisala stare datoteke.,V računalnik je namestila novo programsko opremo.,effect,1,187
Deklica je nastopila v plesnem recitalu.,"Starši so ji pokazali, kako se pleše.",Njeni starši so prišli gledat recital.,effect,1,188
Otrok je jokal v posteljici.,Mati je pobrala otroka.,Otrok se je priplazil do matere.,effect,0,189
Ženska se je prebudila.,Začela je hoditi v cerkev.,Začela je potovati v tujino.,effect,0,190
Predalniki pisarne so bili natrpani.,Zavrgla sem nepotrebno vsebino.,Predale sem zaklenil.,effect,0,191
Študent se je s testno oceno pohvalil sošolcem.,Prejel je popoln rezultat.,"Pretvarjal se je, da se zanima za razred.",cause,0,192
Fant je občutil domotožje.,Odšel je v taborišče.,S sestro se je sprl.,cause,0,193
Raketa je poletela v nebo.,Dekle ga je sprožilo.,Dekle ga je oblikovalo.,cause,0,194
Fant je mrmral svoj odgovor materi.,"Mati mu je rekla, naj šepeta.","Mati mu je rekla, naj spregovori.",effect,1,195
Moj let je zamujal.,Na tem območju so opazili tornade.,Pridržali so me na letališkem varovanju.,cause,0,196
Vključil se je dimni alarm.,Prižgal sem svečo.,Zažgal sem si večerjo.,cause,1,197
Vaza se je zlomila.,Predložila sem šablono.,Zlepil sem ga nazaj.,effect,1,198
Ženska je začutila električni udar.,Zgrabila je kljuko na vratih.,Tolkla je po vratih.,cause,0,199
Moški je imel na ustih šminko.,Ženska ga je poljubila.,Ženska ga je zardela.,cause,0,200
Instinktivno sem prestrašeno skočil.,"Začutil sem, da se mi nekdo približuje od zadaj.","Slišal sem, kako so se ljudje sockali v sosednji sobi.",cause,0,201
"Vrtnar je želel, da njegove rastline uspevajo.",Sadil je različna semena.,V tla je dal gnojilo.,effect,1,202
V hiši je počila vodovodna cev.,Voda je bila sanitarna.,Cev je zmrznila.,cause,1,203
Pas na hlačah mi je bil ohlapen.,Nataknil sem si pas.,Nataknil sem si klobuk.,effect,0,204
Podjetje je izgubilo denar.,Njeni izdelki so prejeli pozitivne ocene potrošnikov.,Nekateri izdelki so bili izdelani z napako.,cause,1,205
Najemniki so bili izseljeni iz stanovanja.,Zanemarili so plačilo najemnine.,Razumela sta se s svojim najemodajalcem.,cause,0,206
Moški se je zbudil z zobobolom.,Pogrešal je sestanek z zobozdravnikom.,Dogovoril se je za zobozdravnika.,effect,1,207
Ekipa je izgubila igro.,Njihov najboljši igralec se je poškodoval.,Njihov trener jih je napumpal.,cause,0,208
Starši so otrokom prepovedali ogled filma.,Film je bil ocenjen z R.,Film je bil animiran.,cause,0,209
Ženska je e-pošto izbrisala.,Pošiljatelj je od nje skušal pridobiti denar.,Pošiljatelj je od nje zahteval odgovor.,cause,0,210
Policija je žensko izločila s seznama osumljencev.,Policija jo je zaslišala.,Njen alibi se je odjavil.,cause,1,211
Plezalci so dosegli vrh gore.,Naleteli so na plaz.,Čestitala sta si.,effect,1,212
Vandali so v okno vrgli kamen.,Okno je počilo.,Okno se je meglo.,effect,0,213
Razodetja vedeževalke so bila prepričljiva.,"Prejela je veliko kupcev, ki se vračajo.",Številne stranke so zahtevale vračilo kupnine.,effect,0,214
Ženska ličila zamazana.,Umivala si je lase.,Obrisala si je oči.,cause,1,215
Dobiček podjetja se je začel izenačevati.,Povečala je tržna prizadevanja za nove izdelke.,Sedež je preselil na primestno lokacijo.,effect,0,216
Odgovor študenta na izpitu je bil napačen.,Učitelj je oceni učenca dodal dodatne točke.,Učitelj je odšteval točke od ocene učenca.,effect,1,217
Deklica je želela pokazati ustrezen bonton.,Po jedi je vrgla prtiček.,Pred jedjo je položila prtiček v naročje.,effect,1,218
Detektiv je policiji poslal svojo značko.,Policist je detektivu zasegel značko.,Policist je pustil detektiva na kraj zločina.,effect,1,219
Deklica je želela osrečiti svojo mamo.,"Deklica je pojedla piškote, ki jih je pekla njena mama.",Deklica je za mater izbrala rožo.,effect,1,220
Malček je začel jokati.,Starši so ji odvzeli igračo.,Starši so ji podarili igračo.,effect,1,221
Neznanec mi je zavpil v tujem jeziku.,Tupo sem strmela vanj.,"Ustavil sem se, da bi poklepetal z njim.",effect,0,222
Moški je odkril obremenilne dokaze zoper svojega sovražnika.,Moški se je izognil svojemu sovražniku.,Moški je izsiljeval svojega sovražnika.,effect,1,223
Deklica se je odrinila z vrha tobogana.,Drsela je po toboganu.,Odplazila je po toboganu.,effect,0,224
Odprla se mi je čeljust.,Bil sem nesrečen.,Bil sem šokiran.,cause,1,225
Otrok ni ubogal svojih staršev.,Starši so jo objeli.,Starši so jo kaznovali.,effect,1,226
Avto je bil videti umazan.,Lastnik ga je odnesel v avtopralnico.,Lastnik ga je vzel za barvanje.,effect,0,227
Moj prijatelj je plačal mojo vozovnico.,Zahteval sem povračilo.,Sem ji vrnil.,effect,1,228
Ženska je bila zaradi zločina neupravičeno obsojena.,Žirija je bila poštena.,Bila je uokvirjena.,cause,1,229
Deklica je škarje nanesla na papir.,Papir se je razrezal.,Papir se je zavil.,effect,0,230
Ženska je obiskala svojo družino.,Zaupala jim je.,Pogrešala jih je.,cause,1,231
V smehu sem planil.,Zobje so mi začeli klepetati.,Oči so mi zavrele od solz.,effect,1,232
Ravnatelj šole je uvedel kodeks oblačenja.,Študenti so zoper odločitev protestirali.,Učenci so bili izključeni iz šole.,effect,0,233
Balon se je razširil.,Pihal sem vanj.,Nabodel sem ga.,cause,0,234
Želel sem polepšati razpoloženje pogovora.,Ostala sem tiho.,Povedal sem šalo.,effect,1,235
Moški si je zlomil nožni prst.,Dobil je luknjo v nogavici.,Spustil je kladivo na nogo.,cause,1,236
Moški je imel napad vesti.,Manipuliral je s prijateljem.,Priznal je svojo razsodnost.,effect,1,237
V dvorani šole je izbruhnil pest.,Ravnatelj je vpletene učence suspendiral.,Ravnatelj je za ta dan odpovedal pouk.,effect,0,238
Foto albumi so na podstrešju zbirali prah.,Leta so ostali nedotaknjeni.,Družina se je spominjala fotografij.,cause,0,239
Motil sem se od pogovora z žensko.,Vsi v sobi so govorili.,Ženska je pripovedovala smešno zgodbo.,cause,0,240
V pralni stroj v pralnici sem dal kovance.,Stroj se je vklopil.,Zmanjkalo mi je detergenta za pranje perila.,effect,0,241
Družina je žar preložila.,Napoved je zahtevala nevihte.,Bil je praznični vikend.,cause,0,242
Iz krogle na plaži je uhajal zrak.,Bilo je napihnjeno.,V njem je bila luknja.,cause,1,243
Pogovor naše skupine se je postopoma utišal.,Počutil sem se nerodno.,Postala sem jezna.,effect,0,244
Ovitek za bonbone sem stisnil v pest.,Zavitek se je zavil.,Zavitek se je strgal.,effect,0,245
Ženska je pritisnila tipko klavirja.,Predvajan zvok.,Ključ se je zataknil.,effect,0,246
Deklica je spoznala svojega najljubšega igralca.,Odšla je pogledat njegov novi film.,Prosila ga je za avtogram.,effect,1,247
Vozila so potovala počasi.,Bilo je oblačno.,Bilo je megleno.,cause,1,248
Lestenec se je razbil na tleh.,Lestenec je padel s stropa.,Lestenčne luči so utripale in ugašale.,cause,0,249
Mačka je zavreščala.,Praskalo me je.,Pobožal sem ga.,cause,1,250
Fant je porinil sestro.,Njegova sestra se je prepirala nad njim.,Igrali so se skrivalnic.,effect,0,251
Moški se je zredil.,Preoblečen je bil.,Osvetlil je svoje čevlje.,effect,0,252
Oblaki so bili videti temni.,Prenosnik sem prinesel v službo.,Dežnik sem prinesel v službo.,effect,1,253
Motor letala je bil okvarjen.,Letalo je strmoglavilo.,Pilot je naredil napako.,effect,0,254
Avtomobili so se pomaknili na ramo ceste.,Na semaforju je zasvetilo zeleno.,Vriskajoče reševalno vozilo se je približalo.,cause,1,255
