hypothesis,idx,label,premise
Starši Line Joy so iz Malezije.,10,entailment,"42-letna Lina Joy se je malajskim staršem rodila kot Azlina Jailani in bila vzgajana v muslimanko. Malezijska ustava zagotavlja versko svobodo, a po zakonu so vsi etnični Malajci muslimani. Joy se je pri šestindvajsetih letih spreobrnila v krščanstvo in po nekaj birokratskih zapletih ji je leta 1999 uspelo uradno spremeniti ime. Vseeno pa ji je Državni oddelek za matične zadeve na osebni izkaznici MyKad kot izraženo vero ohranil islam. Državni oddelek za matične zadeve je izjavil, da bi morala Joy na muslimanskem šeriatskem sodišču pridobiti potrdilo o apostaziji, če želi spremeniti vero."
Berlinski zid so porušili leta 1989.,11,entailment,"9. november 1989 je dan, ko je padel Berlinski zid in se je svet za vedno spremenil. Tega niso pričakovali niti najbolj prebrisani. Kot madžarski zunanji minister je Gyula Horn pozno poleti 1989 dovolil vzhodnonemškim obiskovalcem, da preko Madžarske naredijo dobrih 600 kilometrov dolg ovinek okoli Berlinskega zidu (v zahodno Nemčijo); to dejanje mnogi razumejo kot začetek konca trdega komunizma v Evropi."
Valero Energy Corp. proizvede 250.000 sodčkov dnevno.,12,entailment,"Na Valero Energy Corp. so v ponedeljek povedali, da so odkrili »obsežno« dodatno škodo na rafineriji Port Arthur, kjer proizvedejo 250.000 sodčkov na dan."
Cene nafte rastejo.,13,not_entailment,Cene nafte se umirjajo po umiku Jukosove naftne grožnje
"Podajalec je vrgel za 413 jardov in tri touchdowne, nato pa še dvakrat stekel v končno cono.",14,not_entailment,"Brian Brohm, podajalec iz Louisvilla, je vrgel za 368 jardov in pet touchdownov, ko so Cardinals premagali gostujočo ekipo Oregon State s 63-27."
Greg Page je bil prvak v WBA.,15,entailment,"Greg Page, nekdanji boksarski prvak v težki kategoriji, ki je leta 2001 v dvoboju utrpel hudo možgansko poškodbo, je umrl, star 50 let. Njegova žena Patricia je povedala, da je enkratni prvak WBA umrl na domu v Kentuckyju v ZDA za posledicami zapletov, ki so jih povzročile poškodbe, ki jih je utrpel v dvoboju. Page je bil po dvoboju z 9. marca 2001 protu Daleu Crowu, ki so ga prekinili v 10. rundi, teden dni v komi. Patricia Page je dejala, da mu je »bolje, kjer je sedaj« po tem, ko je v ponedeljek povedala, da je ponoči umrl v spanju."
Sierra je nekoč dosegla finale »Ameriškega idola«.,16,not_entailment,"Sierra bo do zaslišanja 20. decembra najverjetneje ostala v zaporu Hillsborough County jail v domači Tampi, kjer je priprta brez varščine, zaradi česar se v petek tako ali tako ne bi mogla udeležiti dogodka v Washingtonu, tudi če bi še imela dovoljenje za nastop. Sierra je v ječi od začetka meseca, ko se je pred nočnim klubom v Tampi, od koder so jo vrgli ven, sprla s policisti. Čakajo jo obtožbe pijanosti in razgrajanja ter upiranja aretaciji."
v zgodnjih devetdesetih prejšnjega stoletja so v Braziliji pričeli z ukrepi za reševanje deževnega gozda.,17,not_entailment,"Od leta 1987 pa je Brazilija pričela sprejemati ukrepe, da bi radikalno zmanjšali uničenje; ti so vključevali poostren nadzor in odpravo davčnih olajšav, ki so privedle do obsežnih čiščenj zemljišč."
Sepp Blatter je predsednik Fife.,18,entailment,"FIFA je prejela 11 ponudb za prirejanje Fifinih svetovnih prvenstev 2018 in 2022, mednarodnih nogometnih tekmovanj, ki se jih udeležijo moške državne reprezentance. Države, ki se potegujejo, da bi gostile prvenstvi, so Avstralija, Anglija, Indonezija, Japonska, Mehika, Katar, Rusija, Južna koreja in Združene države Amerike s posamičnimi ponudbami, skupni ponudbi pa sta oddala para Belgija-Nizozemska in Španija-Portugalska.  Izbrane ponudbe so za prvenstvi 2018 in 2022, dve ponudbi pa le za prvenstvo 2022. Katar in Južna Koreja se potegujeta le za prvenstvo leta 2022. Zmagovalni ponudbi bo 24-članski izvršni komite Fife izbral v decembru 2010.  Predsednik Fife Sepp Blatter je ob tem povedal: »Zelo smo zadovoljni s fantastičnim nivojem zanimanja za naše vodilno tekmovanje, vsi začetni ponudniki pa so tudi potrdili svojo kandidaturo.«"
"Cena ameriškega surovega lahkega olja se je na koncu spustila za 1,32 dolarja na 42,83 dolarja za sodček.",19,not_entailment,"Ameriško surovo olje je končalo 1,32 $ nižje na 42,83 $ za sodček."
Leta 2002 je blizu Stuttgarta fant ustrelil 16 ljudi.,20,not_entailment,"WINNENDEN, Nemčija • V sredo je najstniški strelec ubil 15 ljudi, večino žensk, v morilskem pohodu, ki se je začel na šoli blizu Stuttgarta na jugu Nemčije, končal pa v bližnjem mestu, kjer se je nato ubil po tem, ko ga je policija ranila. Po napadu je Nemčija, ki je po podobnem napadu v šoli pred sedmimi leti poostrila strog nadzor nad orožjem, v šoku in težko razume razdejanje, ki jo je znova zadelo, saj gre za državo, ki ima relativno malo nasilnega kriminala. Leta 2002 je strelec v šoli v Erfurtu na vzhodu Nemčije ubil 16 ljudi, preden je ubil še sebe."
Narodni park Everglades se nahaja na Floridi.,21,not_entailment,"Veliko je odvisnega od prodaje deležev Talismana v okrožjih Palm Beach in Hendry, kar je podpredsednik Al Gore z veliko pompa oznanil prejšnje leto ob 50. obletnici narodnega parka Everglades."
Steklina je usodna za človeka.,22,entailment,"Virus stekline prizadene osrednji živčni sistem ter povzroči encefalopatijo in nazadnje smrt. Zgodnji simptomi stekline pri človeku niso specifični, mednje pa sodijo vročina, glavobol in splošno slabo počutje."
PM je pogosto vstopil na tržišča tako s cigaretami kot s hrano.,23,not_entailment,"Ameriška tobačna podjetja so večino četrtletij prikazovala dobiček zaradi izvozne prodaje cigaret in diverzifikacije izdelkov za prodajo, vključno s hrano."
Ljudje so obstajali pred 10.000 leti.,24,entailment,"Razvoj kmetijstva s strani zgodnjih ljudi pred približno 10.000 leti je škodil tudi mnogim naravnim ekosistemom, saj so jih sistematično uničevali in zamenjevali z umetnimi različicami."
Pibul je bil mlad voditelj.,25,entailment,"Dva mlada voditelja prevrata, Pibul Songgram in Pridi Phanomyang, ki sta bila oba izobražena v Evropi in pod vplivom zahodnjaških idej, sta v sledečih letih postala vodilna v tajski politiki."
Lin Piao je napisal »Malo rdečo knjižico«.,26,entailment,Lin Piao je bil konec koncev ustvarjalec Maove »Male rdeče knjižice« citatov.
Bakterije zmagujejo v boju z antibiotiki.,27,not_entailment,"Ko bolniki prekinejo terapijo antibiotikov, se preživele bakterije vrnejo v še večji meri kot prej, pogosto pa hitro mutirajo, da postanejo odporne na terapijo."
Uvedba evra je naletela na nasprotovanje.,28,entailment,"Bundesbank je uvodoma nasprotovala uvedbi evra, a je bila v luči političnega pritiska kapitalističnih politikov, ki so podpirali njegovo uvedbo, to primorana sprejeti."
Vladne čete so ubile tri upornike.,29,entailment,"Tiskovni komite oboroženih sil (COPREFA) je priznal, da so vladne čete v treh spopadih utrpele 11 žrtev, in dodal, da so pri upornikih povzročili tri žrtve."
Legalizacija drog prinaša koristi.,30,entailment,"Ena gospodarska študija še ne bo podlaga kanadskih odločitev glede javne politike, a Eastonova raziskava vendarle z gotovostjo ugotavlja, da ima legalizacija marihuane gospodarske koristi."
Na jugu Kaira je bilo najdenih 30 odlično ohranjenih mumij.,31,entailment,"Arheologi so našli približno 30 odlično ohranjenih mumij v 4.000 let stari egipčanski nekropoli, v kateri je bilo 53 grobnic. Ekipa dr. Abdel-Rahmana El-Ayedija, nadzornika za starine za Srednji Egipt, je to arheološko najdišče odkrila v oazi Faiyum blizu egipčanske piramide El-Lahun, nekoliko južno od Kaira. Poleg mumij je ekipa v mrliški kapeli našla maske, amulete, lončeno posodo in mizo za daritve. Kapela datira med leti 30 pr. n. št. in 337 n. št."
Aspirin preprečuje gastrointestinalne krvavitve.,32,not_entailment,"Gastrointestinalne krvavitve so lahko stranski učinek nesteroidnih protivnetnih zdravil, kot sta aspirin in ibuprofen."
Hooper živi v Portlandu.,33,not_entailment,"Nekdanji uslužbenec podjetja, David Vance iz South Portlanda, pravi, da je Hooper preživel veliko časa na poti in se pogosto srečeval s strankami med Portlandom in Kitteryjem."
Ciper je bil 1. maja razdeljen na dva dela.,34,not_entailment,"Ciper, razdeljen ali ne, se 1. maja pridruži EU."
"Severna Koreja pravi, da ima kupe jedrskih orožij in da jih gradi še več.",35,not_entailment,"Svetovni voditelji so v četrtek izrazili zaskrbljenost, da bo Severna Koreja zapustila šetčlanske pogovore o jedrski razorožitvi in okrepila svoj arzenal jedrskih orožij."
Gbagbo je Ouattarov tekmec.,36,entailment,"Zakoni, ki ustanavljajo volilno komisijo, zadevajo tudi narodnost, ki je sporno vprašanje, odkar so strožji zakoni izključili enega Gbagbojevih glavnih tekmecev iz predsedniške tekme leta 2000, nekdanjega premiera Alassaneja Ouattare."
Mohandas je leta 1989 prejel Nobelovo nagrado.,37,not_entailment,"Mohandas Karamčand Gandhi nikoli ni prejel Nobelove nagrade za mir, čeprav je bil zanjo med letoma 1937 in 1948 nominiran petkrat."
"Malo verjetno je, da bo prišlo do koalicije med socialnimi demokrati Goerharda Schroederja in zvezo krščanskih demokratov Angele Merkel.",38,not_entailment,"Krščanski demokrati (CDU) so dobili 35,2% glasov oz. 225 sedežev, socialni demokrati kanclerja (SPD) Goerharda Schroederja pa 34,3% glasov."
Decembra 1936 je abdiciral kralj Edward VIII.,39,entailment,"Edward VIII je bil okronan januarja 1936, decembra istega leta pa je abdiciral."
Stephen Grosz je britanski odvetnik Davida Hicksa.,40,not_entailment,"David Hicks, avstralski jetnik v zaporu Guantanamo Bay, je dobil britansko državljanstvo in s tem možnost, da da ga osvobodijo iz ameriškega vojaškega zapora na Kubi. Sodnik Lawrence Collins z britanskega višjega sodišča je razveljavil odločitev britanske vlade, ki je zavrnila Hicksovo prošnjo za državljanstvo, čeprav se je njegova mama rodila v Angliji. Sodnik Collins trdi, da vlada »nima pravice zavrniti ali odvzeti državljanstvo.« Sodnik Collins je rekel: »Menim, da bi bilo neprimerno zavrniti pomoč, ki bi jo drugače nudili, samo zato, ker naj bi bil tožnik domnevno vpleten v terorizem in v preteklosti ni imel stika z našo državo.« Hicksov odvetnik, Stephen Grosz, trdi, da gre za prelomno določitev. Obenem pravi, da zdaj ni razloga, da ne bi bil Hicks deležen iste zaščite kot devet drugih britanskih državljanov, ki so jih po posredovanju britanske vlade brez obtožbe izpustili iz zapora Guantanamo Bay."
Nabirajo morsko rastlinje.,41,entailment,Morsko algo Fucus nabirajo v komercialne namene na Novi Škotski že od konca petdesetih let in je trenutno komercialno najbolj pomembna morska alga v atlantski Kanadi.
"Mušaraf je izgrednikom ukazal, naj odločno nastopijo proti varnostnim silam.",42,not_entailment,"Pakistanski predsednik Pervez Mušaraf je po umoru opozicijske voditeljice Benazir Buto varnostnim silam ukazal, naj odločno nastopijo proti izgrednikom. Zaradi nasilnih izgredov je umrlo vsaj 44 ljudi, številni pa so bili ranjeni. Mušaraf trdi, da so ukrepi nuni, da se zaščiti ljudi. Novinar televizijske postaje VOA, Ayaz Gul, iz Islamabada poroča, da je obenem izbruhnil srdit spor glede umora 54-letne političarke in tega, kdo stoji za njim."
Michael Bloomberg je župan New Yorka.,43,not_entailment,"En mesec zatem ko je guverner David A. Paterson opustil predlog za davek na gazirane sladke pijače, je vodja njujorške zdravstvene komisije napisal članek, ki zagovarja »konkretne« davke na gazirane in športne pijače s sladkorjem. V članku trdi, da bi tovrstni davek lahko prispeval k javnemu zdravju vsaj toliko kot uvedba davka na tobačne izdelke. Vodja komisije,dr. Thomas R. Frieden, in njegov so-avtor, Kelly D. Brownell z univerze Yale, v reviji New England Journal of Medicine trdita, da bi davek v znesku enega penija na približno 30 ml znižal porabo za več kot 10 procentov in samo v državi New York prispeval v blagajno 1,2 milijarde dolarjev letno."
"Uradniki so povedali, da je med mrtvimi tudi osumljenec, ki je finski državljan.",44,entailment,"Uradniki so povedali, da je med mrtvimi tudi finski osumljenec , vendar niso navedli povoda za napad."
Ukinili so varovano vojaško območje okoli Falklandskega otočja.,45,entailment,"Velika Britanija bo do 31. marca ukinila okoli 240 km široko varovano vojaško območje okoli otočja, ki ga je uvedla ob argentinski invaziji leta 1982."
Potopil se je indonezijski trajekt s 300 potniki.,46,not_entailment,"Predstavnik podjetja PT Nur Budi, ki je lastnik trajekta, je za tragedijo obtožil indonezijske pristaniške oblasti. »Trajekt ima kapaciteto 205 potnikov, pristaniška administracija pa je vkrcala več potnikov, ker so mislili, da bo pač šlo,« je rekel. Nacionalna agencija za meteorologijo in geofiziko je sicer v petek izdala opozorilo o visokih valovih. Posebej je opozorila, da bo »v soboto 10. in v nedeljo 11. v indonezijskih vodah prišlo do nevihtnih valov«, kljub resnim opozorilom pa je KM Teratai izplula."
Izgredi v Grčiji so se začeli 6.decembra.,47,not_entailment,"Napetosti in spopadi med grško policijo in anarhističnimi protestniki so izbruhnili v središču Aten v Grčiji med protivojno demonstracijo 4. Evropskega socialnega foruma, ki v grški prestolnici zaseda od četrtega do sedmega maja 2006. Pohod približno 1.000 anarhistov se je končal s spopadi med skupinami anarhistov in policije. Posebne policijske enote so uporabile solzivec, poškodovana pa je bila podružnica Grške banke, restavracija s hitro hrano in približno petdeset okenskih izložb v središču Aten."
Tožba vključuje zahtevo po izročitvi libijskih osumljencev za razstrelitev letala Pan Am nad mestecem Lockerbie.,48,entailment,"Libijska tožba proti Veliki Britaniji in ZDA se nanaša na spor glede njihove zahteve po izročitvi Libijcev, ki so jih obtožili za razstrelitev letala podjetja Pan Am nad Lockerbiejem leta 1988."
Argentina je VB prosila za strokovno pomoč pri vprašanjih privatizacije in poljedelstva.,49,not_entailment,Argentina je Veliko Britanijo prosila za pomoč pri programu privatizacije in spodbudila britanske investicije.
Garry Breitkreuz je član konservativne stranke.,50,entailment,"Namesto, da bi se spopadli s kriminalom, smo dobili zvezni register orožja z dolgo cevjo, ki je postal napihnjena birokratska nočna mora za vse odgovorne lovce, kmete in podeželske prebivalce v Kanadi. Davkoplačevalce je stal približno 2 milijardi kanadskih dolarjev, ob tem pa ni niti najmanj zmanjšal količino kriminala s strelnim orožjem, je rekel Harper. Konservativci so neregistriranim lastnikom strelnega orožja obljubili amnestijo. Trenutno ni v parlamentu nobenega zakonodajnega predloga. Konservativec Garry Breitkreuz iz Saskatchewana bo podal predlog zakona o registru orožja z dolgo cevjo."
"Ko so bili stari eno leto, so mišje samce hranili s prehrano, v kateri so 60 procentov kalorij dobili iz maščob.",51,entailment,"Raziskovalci so v najnovejši študiji eno skupino miši hranili s prehrano, v kateri so 60 procentov kalorij dobili iz maščob. S tovrstnim prehranjevanjem so začeli, ko so bili mišji samci stari eno leto, kar v mišjem življenjskem razponu pomeni, da so bili srednjih let. Po pričakovanjih so samci kmalu začeli kazati simptome prediabetesa, z močno povečanimi jetri, umirali pa so veliko prej kot miši s standardno prehrano."
"Vojaki so vozili civilni avto in bili oblečeni v civilna oblačila, ko se je med njimi in iraško patruljo vnel spopad.",52,not_entailment,"Vojake, ki naj bi nosili arabske naglavne rute, so obtođžili, da so streljali na iraško policijo, ko so jih ustavili pri cestni zapori."
"Clinton izjavil, da bi inšpektorji Združenih narodov lahko ostali v Iraku.",53,not_entailment,"Združene države bi želele, da se inšpektorji Združenih narodov vrnejo v Irak, a le pod pogojem, da Iračani naredijo konkretne, pozitivne in dokazljive korake v smeri »polnega sodelovanja«, je izjavil Clinton."
Bataljon San Carlos je napadel patruljni avto.,54,not_entailment,"12. avgusta je bataljon San Carlos naletel na mine, ki so jim jih postavili na pot; en vojak je bil ubit, dva pa huje ranjena. Medtem so 10.avgusta urbani komandosi presenetili patruljni avto in vanj vrgli granato, ki je ranila štiri ljudi in delno uničila avto."
V stanovanju Rodriguezovih na Mulberry Street so ocenili pse za vohanje bomb.,55,not_entailment,V stanovanje Rodriguezovih na Mulberry Street so pripeljali pse za vohanje bomb.
Uporaba mobilnih telefonov lahko vpliva na moško plodnost.,56,entailment,"Neverjetna nova študija o mobilnih telefonih razkriva, da naj bi ti znižali število spermijev za 30%."
Podjetje Lufthansa Technik Automotive je odpustila 30 delavcev.,57,not_entailment,"Delavci tovarne Lufthansa Technik Automotive v okrožju Dublin bodo danes glasovali o spremembah v delovnih procesih, ki jih želi uvesti vodstvo podjetja. Podjetje za vzdrževanje letalskih motorjev je opozorilo,d a bi zavrnitev predlaganih sprememb ogrozila investicijo v tovarno v Rathcoolu in s tem tudi delovna mesta. LTA trdi, da ne bo odpuščala ali nižala plač in da bi načrtovana investicija zagotovila prihodnost tovarne za naslednjih petnajst let. Spremembe v delovnih procesih želijo uvesti po propadu pogajanj s komisijo za delovna razmerja."
Sporazum GATT je nastal leta 1947.,58,not_entailment,"Na novo začrta pravila globalne trgovine, ki jih je leta 1947 vzpostavil Splošni sporazum o carinah in trgovini (GATT) in ki so jih od takrat večkrat preoblikovali skozi številna pogajanja."
Cheney je ozmerjal senatorja Patricka Leahyja.,59,entailment,"Podpredsednik Dick Cheney je v torek med jezno izmenjavo mnenj v Senatu z žaljivko ozmerjal vermontskega senatorja Patricka Leahyja, ko so se senatorji zbrali za vsakoletno fotografiranje."
Na splošnih volitvah maja 2005 so konservativci dobili 33 sedežev.,60,not_entailment,"Na splošnih volitvah maja 2005 Michaelu Howardu ni uspelo premagati laburistične vlade, čeprav so konservativci dobili 33 sedežev in so najbolj korenito pripomogli k temu, da se je laburistična večina znižala s 167 na 66 sedežev."
Dagbladet je norveški časopis.,61,not_entailment,"Norveški korpus Newspaper Corpus je velik korpus norveških publicističnih besedil, ki se avtomatsko dopolnjuje. Začetki zbiranja tega dinamičnega in nenehno naraščajočega korpusa segajo v leta 1998."
"Džakarta, nekoč (do leta 1949) znana kot Batavia, je največje mesto in prestolnica Indonezije.",62,not_entailment,"Nizozemci, ki so Indoneziji vladali do leta 1949, so Džakarto imenovali Batavia."
Jamesa Bonda je ustvaril Ian Fleming.,63,entailment,"Danes so oznanili ime najnovejšega filma v franšizi Jamesa Bonda. Dvaindvajseti film, ki je bil do danes znan samo kot Bond 22, se bo imenoval »Kvantum sočutja«. Produkcijska hiša EON Productions, ki je producent filma, je ime oznanila danes v Pinewood Studios, kjer že od lanskega leta poteka produkcija filma. Ime filma je navdihnila istoimenska kratka zgodba iz knjige For Your Eyes Only, ki jo je napisal Bondov stvaritelj, Ian Fleming."
Patološka debelost je zdravstveno obravnavana.,64,entailment,"Želodčni obvod, ki je znan tudi kot spenjanje želodca, je postal najpogostejši kirurški poseg pri obravnavi patološke debelosti."
V juniju strmo padla potrošniška poraba v ZDA.,65,not_entailment,V juniju so padli stroški potrošnikov v ZDA.
Nekateri Avstralci so gladovno stavkali.,66,not_entailment,"Bivšega iraškega voditelja so preteklo nedeljo odpeljali v bolnico, saj je že šestnajst dni zavračal hrano. Tiskovne agencije poročajo, da je z gladovno stavko sicer zaključil in pojedel kosilo na sodišču v Bagdadu. »Sadam je pojedel govedino z rižem ter kokakolo in kruh, ki ga je prinesel s seboj iz bolnice,« je za Retuters povedal vir. Gladovno je stavkal skupaj s tremi so-obtoženci, ki so zahtevali več varnosti za svoje odvetnike, saj so tri od njih umorili."
Sonio Gandhi je porazila stranka BJP.,67,not_entailment,Sonio Gandhi lahko na naslednjih volitvah porazi stranka BJP.
"Palestinski voditelj Mahmud Abas je človek, s katerim se Izrael lahko pogovarja.",68,entailment,"Izraelski premier Ariel Šaron je izjavil, da je Mahmud Abas človek, s katerim lahko Izrael sklene dogovor."
V filmu nastopa v v logi lika Wolverine igralec Hugh Jackman.,69,entailment,"Premiera v mestu Tempe bo v vsem podobna super-hollywoodskemu spektaklu, vključno z rdečo preprogo, reflektorskimi lučmi, kričečimi oboževalci in medijskim poročanjem o zvezdah filma, na čelu s samim Wolverinom, Hughom Jackmanom, pridružili pa se mu bodo tudi Liev Schreiber, Ryan Reynolds, Taylor Kitsch, Lynn Collins, will.i.am  in režiser Gavin Hood.  Po težkem tekmovanju, ki je vključevalo na tisoče mest in krajev po Združenih državah, si je mestece Tempe priborilo prestižni dogodek z ambicioznim programom, ki je zajemal celo mesto. Skupnost je spodbujal tudi sam župan, Hugh Hallman, ki je na pobudo odgovorila z objavo številnih videov na YouTubeu."
V bombnem napadu na avto v Bejrutu je bil ranjen član opozicije.,70,entailment,"Sicer pa je bil oktobra sredi naraščajočih napetosti med vlado in opozicijskimi skupinami v Bejrutu v bombnem napadu na avto resno poškodovan opozicijski politik, njegov voznik pa je v napadu umrl."
Viša se število obolelih za kožnim rakom.,71,not_entailment,"Weinstock je skrbno preučil na desetine študij, da bi našel dokaz o povezavi med uporabo kreme za sončenje in naraščanjem ali upadanjem števila primerov kožnega raka."
Za iskanje pogrešanih žrtev uporabljajo robote.,72,entailment,"Večina ljudi ve, da lahko bernardinci in druge pasme psov sodelujejo v reševalnih akcijah. V reševalnih akcijah pa bodo morda sodelovali tudi roboti."
Charlton Heston se je rodil v Illinoisu.,73,entailment,"Charlton Heston, ki se je rodil v Illinoisu, je bil 27-leten igralec z izkušnjami na Broadwayju in na televiziji, ko je prispel v Hollywood in s Halom Wallisom podpisal pogodbo o sodelovanju na petih filmih."
Babe Ruth je v svoji karieri dosegel 60 	»homerunov«.,74,not_entailment,"Ruthov rekord iz leta 1927, ko je v eni sami sezoni dosegel 60 »homerunov«, je ostal nedotaknjen do leta 1961, ko jih je Roger Maris dosegel 61."
Maglev uporabljajo v komercialne namene.,75,entailment,"Nemško tehnologijo so uporabili pri izgradnji šanghajske železniške proge za magnetni vlak maglev, prvi na svetu, ki se uporablja v komercialne namene."
Clay Roueche je star 33 let.,76,entailment,"Seattle--Vodja tolpe Združeni narodi, Clay Roueche, mora za zapahi preživeti vsaj 30 let, je izjavil ameriški odvetnik Jeffrey Sullivan po njegovem nepričakovanem torkovem priznanju, da je sodeloval pri tihotapljenju kokaina, marihuane in drugih prepovedanih drog. Sullivan je pred sodiščem povedal, da sta Rouechovo vodstvo nasilne tolpe ZN in dodelanost mednarodne tihotapske zarote dejavnika, ki govorita v prid temu, da si 33-letni Kanadčan zasluži daljšo kazen, »tudi dosmrtno«. Poudaril je tudi, da Rouechov sporazum o priznanju krivde ni vseboval »nobenih olajšav v zvezi z izrekanjem kazni.«"
Tom Baker dela za britansko telekomunikacijsko podjetje BT.,77,entailment,"Bakerjev glas bodo uporabili namesto dosedanjega računalniško sintetiziranega glasu. Podjetje BT je izjavilo, da so njegov glas izbrali zaradi njegove takojšnje prepoznavnosti. Baker je potreboval 11 dni, da je posnel 11.593 besednih zvez in glasov, ki se jih da računalniško ločiti in ponovno združiti v nove besede. Po petih mesecih dodatne obdelave so bili posnetki pripravljeni za uporabo. Podjetje BT je izjavilo, da ne bo omejevalo besed, ki jih lahko »izgovori« glas Toma Bakerja, vključno s kletvicami. »Najbolj mi je všeč to, da bom ljudem prinašal dobre novice, pa naj gre za hudomušna sporočila, rojstnodnevne želje ali samo za hiter pozdrav,« je rekel Baker."
Izbrali so kandidate za Nobelovo nagrado za mir.,78,not_entailment,"Norveška komisija za podelitev Nobelovih nagrad izbira kandidate in nagrajence mirovne nagrade. V komisiji je pet članov, ki jih določi Storting (norveški parlament). Mirovno nagrado podelijo v Oslu, na Norveškem, in ne v Stockholmu, kjer so podeljene ostale Nobelove nagrade."
"Na afriških obalah so našli mrtve delfine, želve in kite.",79,entailment,"Na afriške obale je naplavilo več kot 150 mrtvih delfinov, morskih želv in kljunatih kitov."
Noraini je imela dvojčico po imenu Endon.,80,entailment,"Endon so spoštovali zaradi njenega skromnega in preprostega značaja. V javnosti so jo imenovali ""Kak Endon"" oz. ""starejša sestra Endon."" Potem ko so leta 2002 bolezen že diagnosticirali pri njeni dvojčici Noraini, so ugotovili, da ima raka. Noraini je umrla leta 2003. Endon so odstranili dojko in redno je potovala na zdravljenje v ZDA. Iz Los Angelesa se je v Malezijo vrnila 1.oktobra, po petih ciklih kemoterapije, ki jih je prejela od julija. Endon je intenzivno sodelovala pri projektih za ozaveščanje o raku na dojki, ki je vodilni razlog za z boleznijo povezano smrt pri malezijskih ženskah. Izjavila je, da se ne želi smiliti sama sebi in da je imela srečo, da je imela dostop do najboljšega možnega zdravljenja."
