idx,choice1,choice2,premise,question,label
38,Nit se je ovila okrog šivanke.,Nit je šla skozi blago.,Šivilja je s šivanko predrla blago.,effect,1
39,"Odločila se je, da bo tožila svojega delodajalca.","Odločila se je, da bo kandidirala na volitvah.",Najela je odvetnika.,cause,0
40,Stanodajalec je odklenil vrata.,Stanodajalec je popravil vrata.,Najemnik je izgubil ključe od stanovanja.,effect,0
41,Pokril sem si ušesa.,Začel sem prepevati.,Na radiu se je zavrtela moja najljubša pesem.,effect,1
42,Kandidat ni uspešno opravil preverjanja ozadja.,Kandidat je imel delovne izkušnje za delovno mesto.,"Vodja se je odločil, da kandidata ne bo zaposlil.",cause,0
43,Oslepel je.,Nadel si je očala.,Imel je vnetje oči.,effect,0
44,Selila se je čez zimo.,Poškodovala si je krilo.,Ptica ni mogla leteti.,cause,1
45,Videla je črno mačko.,Videla je zvezdni utrinek.,Dekle si je nekaj zaželelo.,cause,1
46,Zavila se je v brisačo.,Nalila si je limonado.,"Tresla se je, ko je prišla ven iz bazena.",effect,0
47,Pacient je krvavel.,Pacient je postal napet.,Sestra je pripravila injekcijo.,effect,1
48,Bil je svež.,Bil je suh.,Vrgel je stran kruh.,cause,1
49,Obmetavali so se z blazinami.,Skakali so po postelji.,Otroci so prevrnili luč.,cause,0
50,Bil sem žejen.,Bilo mi je slabo.,Pil sem iz pitnika.,cause,0
51,Okrog posestva so si zgradili ograjo.,Na vrtu so pripravili piknik.,Niso imeli radi svojih glasnih sosedov.,effect,0
52,Fitnes se je zaprl.,Njene mišice so bile utrujene.,Bodibilderka je dvigala uteži.,effect,1
53,Sestavine so se stopile.,Sestavine so se zmešale.,Kuhar je premešal sestavine v posodi.,effect,1
54,Posel so razglasili za neveljaven.,Posel je postal uraden.,Podpisal je dokument.,effect,1
55,Pištola je odskočila.,Pištola se je sprožila.,Policist je spustil pištolo.,effect,1
56,Darovala je kri.,Napisala je pesem.,"Čutila se je dolžno pomagati ljudem, ki potrebujejo pomoč.",effect,0
57,Prenovila je kuhinjo.,Posvojila je mačko.,Počutila se je osamljeno.,effect,1
58,Les je postal gladek.,Les je postal lepljiv.,Les sem podrgnil z brusilnim papirjem.,effect,0
59,Skupina je podpisovala avtograme.,Skupina se je vrnila na oder.,Množica je skupini namenila stoječe ovacije.,effect,1
60,Napadli so ga izza hrbta.,Dobil je kazen za smetenje.,Prazno pločevinko je odvrgel na tla.,effect,1
61,Pozabil sem jesti zajtrk.,Bil sem sit od zajtrka.,V želodcu mi je krulilo.,cause,0
62,Čoln je naplavilo na obalo.,Čoln so rešili.,Iz čolna so izstrelili svetilno raketo.,effect,1
63,Vstopil je v hišo.,Zrahljal si je kravato.,Slekel si je plašč.,cause,0
64,Pes je grizel kost.,Pes si je poškodoval šapo.,Družina je peljala psa k veterinarju.,cause,1
65,Pes je skočil.,Pes se je popraskal po kožuhu.,Psa je mamila s piškotom.,effect,0
66,Prijatelj mi je pojasnil pravila.,Prijatelj se je zmotil pri pravilih.,Naučil sem se igrati družabno igro.,cause,0
67,Hotel se je sprostiti.,Bil je zadovoljen.,Odpotoval je čez vikend.,cause,0
68,Lastnik je pomagal strankam.,Trgovino so prenavljali.,Trgovina je bila zaprta.,cause,1
69,Postaja je predvajala rock glasbo.,Radio je šumel.,Deček je lovil postajo.,cause,1
70,Bomba je eksplodirala.,Bomba je bila onesposobljena.,Terorist je sprožil bombo.,effect,0
71,Policisti so poklicali okrepitve.,Osumljenec se je upiral aretaciji.,Policisti so mu nataknili lisice.,cause,1
72,Žrtev se ni mogla spomniti podrobnosti kaznivega dejanja.,Imena žrtve niso javni razkrili.,"Oblasti so se zavezale, da bodo zaščitile identiteto žrtve kaznivega dejanja.",effect,1
73,Kupil jih je na razprodaji.,Shujšal je.,Oblačila so visela z njega.,cause,1
74,"Vzel sem si več časa, da se oblečem.",Ura ni kazala prav.,Ura je nehala teči.,effect,1
75,Stopil je iz avta.,Stopil je proti stavbi.,Zaprl je dežnik.,cause,1
76,"Družina ga je spodbujala, naj neha kaditi.",Bil je odvisen od nikotina.,Močno si je želel cigarete.,cause,1
77,Pes je skočil nanj.,Pes je pritekel k hrani.,Na tla mu je padla hrana.,effect,1
78,Razširila je govorice o prijateljici.,Deklica je prijateljici zaupala skrivnost.,Deklica je bila jezna na prijateljico.,effect,0
79,Policija je opustila primer.,Ubežnik je bil na begu.,Ubežnik se je skrival pred policijo.,effect,1
80,Tekočina v steklenici je zmrznila.,Tekočina v steklenici se je razlila.,Prevrnil sem steklenico.,effect,1
81,Bila je iz bogate družine.,Priselila se je iz druge države.,Govorila je s tujim naglasom.,cause,1
82,Pojedel je feferon.,Upihnil je svečo.,Pekla so ga usta.,cause,0
83,Iztrgal sem naslednjo stran.,Obrnil sem na naslednjo stran.,Prebral sem stran knjige.,effect,1
84,Veliko miz je bilo praznih.,Restavracija je bila polna.,Strežba v restavraciji je bila počasna.,cause,1
85,Poklical sem številko za nujne primere.,Ustavil sem taksi.,"Videl sem, kako so oropali žensko na ulici.",effect,0
86,Tekel sem na tekalni stezi.,Jedel sem rojstnodnevno torto.,Bolel me je trebuh.,cause,1
87,Nehal sem jesti.,Preskočil sem večerjo.,Krožnik sem odložil v pomivalno korito.,cause,0
88,Prebral jo je do konca.,Dala mu je misliti.,Zaprl je knjigo.,cause,0
89,Dedek je bil gluh.,Dedek je bil slep.,Deček je dedku na glas bral roman.,cause,1
90,Obul sem si čevlje.,Stresel sem nogo.,Noga mi je zaspala.,effect,1
91,Fotograf je otroka hitro slikal.,Fotograf je hitro spremenil otrokovo pozo.,Fotograf je nasmejal otroka.,effect,0
92,Steklo je bilo motno.,Senčila so bila odprta.,Okno je bilo neprozorno.,cause,0
93,Ploščice so bile mokre.,Ploščice so bile razpokane.,Spodrsnilo mi je na tleh.,cause,0
94,Iz strnišča mu je zrasla brada.,Njegovo strnišče je izginilo.,Z britvico je šel čez brado.,effect,1
95,Moža so odpustili.,Dobila je dodatek pri plači.,Družino je peljala na počitnice.,cause,1
96,Vzela je uspavalne tablete.,Njen mož je smrčal.,Zbudila se je.,cause,1
97,"Spomnila se je, da mora vzeti zdravilo.",Spomnila se je na otroštvo.,Zavohala je prijeten vonj.,effect,1
98,Bila je gneča.,Ura je bila 3 zjutraj.,Bar se je zaprl.,cause,1
99,Parkiral je.,Prehitro je vozil.,Voznika je ustavila policija.,cause,1
100,"Ugotovila je, kateri učenci manjkajo.",Učence je izprašala.,Učiteljica je preverila prisotnost.,effect,0
101,Ustavilo se je.,Nihalo je sem in tja.,Zanihal sem nihalo.,effect,1
102,Kup je segal dečku čez glavo.,Kocke so se razletele po preprogi.,Otrok je brcnil kup kock.,effect,1
103,Zanesel se je na starše.,Starši so ga zlorabljali.,Najstnik je pobegnil od doma.,cause,1
104,Izpraševalec je zastavljal težka vprašanja.,Dobro sem predvidel izpraševalčeva vprašanja.,Zamočil sem intervju.,cause,0
105,Uporabniki so poročali o nevarnih stranskih učinkih.,Uporabnikom so obnovili recepte.,Farmacevtsko podjetje je odpoklicalo zdravilo.,cause,0
106,"Ugotovil je, da je nekaj pozabil.","Ugotovil je, da je zgoden.",Pogledal je na uro.,effect,1
107,Po tleh sem polil sok.,Tla so bila trajno zamazana.,Tla sem narahlo pobrisal s papirnato brisačo.,cause,0
108,Gost je bil sam.,Gost je bil pijan.,Natakar ni hotel postreči gostu.,cause,1
109,Sledil sem profesorju.,Profesorju sem zastavljal vprašanja.,Profesorjevo predavanje me je zmedlo.,effect,1
110,Šole so jo izločile iz knjižničnega gradiva.,"Učitelji so zahtevali, da jo učenci preberejo.",Knjiga je bila razglašena kot neprimerna za otroke.,effect,0
111,Usmilila se ga je.,Šalila se je z njim.,Prosil je za odpuščanje.,effect,0
112,Paket je vzbudil mojo radovednost.,Paket sem odnesel na pošto.,Po pošti sem prejel paket.,effect,0
113,Val jo je ponesel do obale.,Z desko je zaplavala v morje.,Deskarka je ujela val.,effect,0
114,Govorka je čestitala nasprotniku.,Govorka je zmagala v debati.,Govorka je razorožila svojega nasprotnika v debati.,effect,1
115,Našel sem službo z višjo plačo.,Moj sin se je rodil.,Preselil sem se v drugo mesto.,cause,0
116,Ob vprašanju sem se počutil nelagodno.,Hotel sem biti iskren.,Nisem hotel naravnost odgovoriti.,cause,0
117,Odgovarjal je učitelju.,Učitelj je ocenil njegovo domačo nalogo.,Učenec je moral ostati v šoli po pouku.,cause,0
118,Nameraval jo je povabiti na zmenek.,Imel je mrzle in potne dlani.,Fantu so se tresle roke.,cause,0
119,Igra se je končala z izenačenjem.,Igralec je zadel.,Navijači na stadionu so vzklikali.,cause,1
120,Njeno kolo je sunkovito zavilo.,Njeno kolo je pospešilo.,Dekle se je s kolesom spustilo po hribu.,effect,1
121,Postavil sem se mu po robu.,Nasmehnil sem se mu.,Moški se je vrinil pred mano v dolgi vrsti.,effect,0
122,Vlak je vozil skozi tunel.,Vlak je iztiril.,V vlaku je postalo temno.,cause,0
123,Bil je fasciniran.,Zgrudil se je.,Motril je sliko.,effect,0
124,Pojedla je ribo.,Zaznala je plenilca.,Želva se je skrila v oklep.,cause,1
125,Oblačila so bila razcapana.,Prerasla je oblačila.,Dekle je prepustilo svoja oblačila mlajši sestri.,cause,1
126,Osumljenec je bil oproščen.,Osumljenec je bil obsojen.,Več prič kaznivemu dejanju je pričalo zoper osumljenca.,effect,1
127,Najmlajši otrok je začel hoditi v malo šolo.,Naredila sta načrte za praznovanje obletnice.,Starša sta otroke pustila z varuško.,cause,1
128,Voznik je celo pot govoril.,Voznik je narobe zavil.,Pot je trajala dolgo.,cause,1
129,Potrošniki so prepoznali izdelek.,Izdelek je postal zastarel.,Izdelek so intenzivno oglaševali.,effect,0
130,Milo se je penilo.,Moje roke so odrevenele.,Roke sem si drgnil z milom.,effect,0
131,Laso se je oprijel konja.,Konj je odpeketal v skedenj.,Kavbojka je vrgla laso proti konju.,effect,0
132,Oddahnila si je.,Opravičila se je.,Skupina je spregledala njeno napako.,effect,0
133,Poiskala je razlago izraza v slovarju.,Učbenik je zalučala čez sobo.,Dekle je naletelo na neznano besedo v učbeniku.,effect,0
134,Družina mu je ponudila finančno podporo.,Družina je prekinila stike z njim.,Moški je postal invalid.,effect,0
135,Razstavil sem jo.,Zamenjal sem baterije.,Svetilka je nehala delati.,effect,1
136,Pes je smrdel.,Po gozdovih se je potikal dihur.,Dihur je poškropil psa.,effect,0
137,Nehalo me je srbeti.,Moja brazgotina je zbledela.,Popraskal sem si kožo.,effect,0
138,Postala je pozabljiva.,Poslala mi je darilo.,"Babici sem napisal sporočilo, da se ji zahvalim.",cause,1
139,Lastniki hiše so spali.,Sprožil se je varnostni alarm.,Vlomilec je vlomil v hišo.,effect,1
140,Vrata so se s treskom zaprla.,Ženska se mi je zahvalila.,"Pridržal sem vrata ženski, ki je vstopala za mano.",effect,1
141,Dekle je vklopilo ventilator.,Dekle se je naličilo.,Ogledalo v kopalnici se je zameglilo.,effect,0
142,Moški je segel v žep.,Moški je na dan potegnil orožje.,Varnostnik je skočil na moškega.,cause,1
143,Avto je obstal.,Avto je zavil.,Voznik je zasukal volan.,effect,1
144,Bili so v manjšini.,Napadli so mesto.,Vojska je predala bitko.,cause,0
145,Ladja se je zaletela v pomol.,Ladijske razbitine so potonile v morje.,Mornarica je bombardirala ladjo.,effect,1
146,Bila je čista.,Bila je pomečkana.,Zlikal sem si srajco.,cause,1
147,Izgubila je ravnotežje.,Naredila je nekaj razteznih vaj.,Dekletu se je zvrtelo.,effect,0
148,Zapeljal je skozi križišče.,Opazil je nasedlo vozilo.,Voznik je ustavil ob robu ceste.,cause,1
149,Bolnikovi simptomi so izginili.,Bolnika je obiskala družina.,Bolnišnica je poslala bolnika domov.,cause,0
150,Ni bila cepljena.,Bila je posvojena.,Otrok je dobil smrtno nevarno bolezen.,cause,0
151,Film se je začel.,Sedla sva.,Poiskala sva prazna sedeža v kinodvorani.,effect,1
152,Naučili so jo voziti kolo.,"Spodbujali so jo, naj postane umetnica.",Starši so prepoznali hčerino ustvarjalnost.,effect,1
153,Kozarec je postal topel.,Pokrov se je snel.,Fant je odvil pokrov na kozarcu.,effect,1
154,Vpisala se je na fakulteto.,Diplomirala je.,Dobila je diplomo.,cause,1
155,Šel sem gor po stopnicah.,Pretekel sem sedem kilometrov.,Na dušek sem spil vrč vode.,cause,1
156,Preskočil sem lužo.,Igral sem se v luži.,Naletel sem na lužo na pločniku.,effect,0
157,Zališal se je požarni alarm.,Zavohala je dim.,Pokrila si je ušesa.,cause,0
158,Izkopavala je starodavne artefakte.,Brala je o zgodovini najdišča.,Arheologinja je raziskovala najdišče.,effect,0
159,Povedal je rasistično šalo.,Zabaval je občinstvo.,Občinstvo je izžvižgalo komika.,cause,0
160,Igralec je dobil kazen.,Igralec je zadel.,Trener je potrepljal igralca.,cause,1
161,Žoga se je zakotalila po tleh.,Žoga je zadela strop.,Žogo sem vrgel v zrak.,effect,1
162,Obrisal sem si usta.,Umil sem si zobe.,Iz ust mi je smrdelo po česnu.,effect,1
163,Vprašal je za pot.,Narisal je zemljevid.,Izgubil se je.,effect,0
164,Dojenček je podrl kupček.,Mama se je spačila.,Dojenček je povlekel mamo za lase.,effect,1
165,Zamajal sem se.,Pokleknil sem.,Stal sem na eni nogi.,effect,0
166,Avto je pospešil.,Vrata avtomobila so se odprla.,Dal sem gas.,effect,0
167,Nepravilno sem parkiral.,Avto sem vžgal s premostitvenimi kabli.,Odvlekli so mi avto.,cause,0
168,Njenega pajdaša so prijeli.,Uničila je dokaze.,Storilke kaznivega dejanja niso dobili.,cause,1
169,Mizo sem obrisal s krpo.,Z mize sem odstranil knjige.,Z mize se je dvignil prah.,cause,0
170,Motor se je ustavil.,Motor je oddrvel.,Motorist je pritisnil na plin.,effect,1
171,Čigumi se je prilepil učencu na čevelj.,Učenec je izpljunil žvečilni gumi.,Učitelj je zalotil učenca z žvečilnim gumijem.,effect,1
172,Gostje so bili ljubeznivi.,Gostje so bili lačni.,Gostitelj je postregel večerjo svojim gostom.,effect,0
173,Mačka je obtičala na drevesu.,Ptica si je naredila gnezdo na drevesu.,Deček je splezal na drevo.,cause,0
174,Moški je odnesel stol v svojo pisarno.,Moški je potisnil stol bliže k mizi.,Stol je zaškripal.,cause,1
175,"Čas je bil, da gredo otroci spat.",Otroci so gledali risanke.,Oče je ugasnil televizijo otrokom.,cause,0
176,Potopil se je.,Plaval je na mestu.,Zadržal je sapo.,cause,0
177,Pobegnil sem.,Opravičil sem se mu.,Po nerodnosti sem se zaletel v neznanca.,effect,1
178,Kapitan je dvignil jadro.,Bil je ujet v orkanu.,Čoln se je prevrnil.,cause,1
179,Ni hotel govoriti z njo.,Ni je hotel pogledati v oči.,"Mama je sumila, da sin laže.",cause,1
180,Prijatelji so jo pustili na cedilu.,Pozabila je svojo osebno izkaznico.,Dekletu niso pustili v bar.,cause,1
181,Komet je letel mimo lune.,Komet je trčil v luno.,Na luni se je ustvaril krater.,cause,1
182,Zalil sem zemljo.,Semena so pognala.,Semena sem posadil v zemljo.,effect,1
183,Hotel je ohraniti svojo zasebnost.,"Podpiral je namen, za katerega je daroval.",Dobrotnik je hotel ostati anonimen.,cause,0
184,Brazgotino je pojasnjevala neznancem.,Brazgotino je skrila z ličili.,Sramovala se je brazgotine na svojem obrazu.,effect,1
185,"Ugotovil je, da je pacientova roka zlomljena.",Pacientovo roko je dal v mavec.,Zdravnik je slikal pacientovo roko.,effect,0
186,Iskal je školjke v pesku.,Gradil je gradove iz peska.,Deček je napolnil kanglico s peskom.,cause,1
187,Z računalnika je izbrisala stare datoteke.,Na računalnik je naložila novo programsko opremo.,Nadgradila je strojno opremo na svojem računalniku.,effect,1
188,Starši so jo naučili plesati.,Staršli so prišli gledat recital.,Dekle je nastopilo na plesnem recitalu.,effect,1
189,Mama je dvignila dojenčka.,Dojenček se je priplazil do mame.,Otrok je jokal v posteljici.,effect,0
190,Začela je hoditi v cerkev.,Začela je potovati po tujini.,Ženska je doživela versko prebujenje.,effect,0
191,Nepotrebne stvari sem vrgel v smeti.,Zaklenil sem predale.,Predali so bili natrpani.,effect,0
192,Dobil je vse točke na testu.,"Delal se je, da ga predmet zanima.",Učenec se je bahal pred sošolci s svojo oceno.,cause,0
193,Šel je na počitniški tabor.,Prepiral se je s sestro.,Deček je bil domotožen.,cause,0
194,Dekle jo je izstrelilo.,Dekle jo je oblikovalo.,Raketa je poletela v nebo.,cause,0
195,"Mama mu je rekla, naj šepeta.","Mama mu je rekla, naj govori glasneje.",Deček je zamomljal mami v odgovor.,effect,1
196,Na območju so zabeležili tornade.,Zadržali so me pri varnostnem pregledu.,Moj let so prestavili.,cause,0
197,Prižgal sem svečo.,Prismodil sem večerjo.,Sprožil se je požarni alarm.,cause,1
198,Nanjo sem odtisnil vzorec.,Zlepil sem jo.,Vaza se je razbila.,effect,1
199,Prijela je za kljuko.,Potolkla je po vratih.,Začutila je električni šok.,cause,0
200,Poljubila ga je.,Zardel je pred njo.,Na licu je imel šminko.,cause,0
201,"Čutil sem, da se mi nekdo približuje od zadaj.",Slišal sem hahljanje ljudi v sosednji sobi.,Iz strahu sem nagonsko sem odskočil.,cause,0
202,Posadil je več različnih semen.,V zemljo je dal gnojilo.,"Vrtnar je hotel, da njegove rastline dobro uspevajo.",effect,1
203,Voda je bila oporečna.,Cev je zmrznila.,Vodna cev v hiši je počila.,cause,1
204,Vzel sem pas.,Nadel sem si klobuk.,Pas na hlačah se mi je zrahljal.,effect,0
205,Njihovi izdelki so dobili pozitivne ocene potrošnikov.,Nekateri njihovi izdelki so bili narejeni z napako.,Podjetje je izgubilo denar.,cause,1
206,Niso plačali najemnine.,Z najemodajalcem so se dobro razumeli.,Najemniki so bili deložirani.,cause,0
207,Zamudil je zobodravniški pregled.,Naročil se je na zobodravniški pregled.,Zbudil se je z zobobolom.,effect,1
208,Njihov najboljši igralec se je poškodoval.,Trener jih je motiviral.,Ekipa je izgubila tekmo.,cause,0
209,Film je bil neprimeren za otroke.,Film je bil animiran.,Starši so svojim otrokom prepovedali ogled filma.,cause,0
210,Pošiljatelj je hotel od nje izprositi denar.,Pošiljatelj jo je prosil za odgovor.,Izbrisala je elektronsko sporočilo.,cause,0
211,Policija jo je izprašala.,Njen alibi se je izkazal za resničnega.,Policija jo je izločila iz seznama osumljencev.,cause,1
212,Naleteli so na snežni plaz.,Čestitali so drug drugemu.,Plezalci so dosegli vrh gore.,effect,1
213,Okno je počilo.,Okno se je zameglilo.,Vandali so vrgli kamen v okno.,effect,0
214,Imela je več rednih strank.,Veliko strank je hotelo svoj denar nazaj.,Vedeževalkina razkritja so bila prepričljiva.,effect,0
215,Počesala si je lase.,Obrisala si je oči.,Ličila so se ji razmazala.,cause,1
216,Več napora je vložilo v trženje svojih novih izdelkov.,Svoj sedež je preselilo v predmestje.,Prihodki podjetja so se izravnali.,effect,0
217,Učitelj je učencu dal dodatne točke pri oceni.,Učitelj je učencu odbil točke od ocene.,Učenčev odgovor na testu je bil nepravilen.,effect,1
218,Po jedi je odvrgla prtiček.,Prtiček si je pogrnila čez kolena pred jedjo.,Dekle se je hotelo obnašati po bontonu.,effect,1
219,Policist je zaplenil detektivovo značko.,"Policist je detektivu pustil, da vstopi na kraj zločina.",Detektiv je policistu pokazal svojo značko.,effect,1
220,"Deklica je pojedla piškote, ki jih je spekla njena mama.",Deklica je utrgala rožo za svojo mamo.,Deklica je hotela osrečiti svojo mamo.,effect,1
221,Starši so ji vzeli igračo.,Starši so ji dali igračo.,Malčica je začela jokati.,effect,1
222,Brezizrazno sem ga gledal.,"Ustavil sem se, da bi pokramljal z njim.",Neznanec mi je zavpil nekaj v tujem jeziku.,effect,0
223,Izogibal se je svojega sovražnika.,Izsiljeval je svojega sovražnika.,Odkril je obremenjujoče dokaze zoper svojega sovražnika.,effect,1
224,Spustila se je po toboganu.,Plazila se je po toboganu navzgor.,Deklica se je odrinila z vrha tobogana.,effect,0
225,Bil sem nesrečen.,Bil sem šokiran.,Povesila se mi je čeljust.,cause,1
226,Starši so jo objeli.,Starši so jo kaznovali.,Deklica ni ubogala svojih staršev.,effect,1
227,Lastnik ga je peljal v avtopralnico.,Lastnik ga je dal prebarvati.,Avto je bil videti umazan.,effect,0
228,Prosil sem za vračilo denarja.,Vrnil sem ji denar.,Prijateljica mi je plačala karto.,effect,1
229,Porota je bila poštena.,To so ji podtaknili.,Ženska je bila po krivem obsojena za kaznivo dejanje.,cause,1
230,Papir je šel narazen.,Papir se je zmečkal.,Dekle je zarezalo s škarjami v papir.,effect,0
231,Ni jim zaupala.,Pogrešala jih je.,Obiskala je svojo družino.,cause,1
232,Začel sem šklepetati z zobmi.,V oči so mi privrele solze.,Bruhnil sem v smeh.,effect,1
233,Učenci so protestirali proti odločitvi.,Učenci so bili izključeni iz šole.,Ravnatelj šole je uvedel pravila oblačenja.,effect,0
234,Pihal sem vanj.,Prebodel sem ga.,Balon se je napihnil.,cause,0
235,Ostal sem tiho.,Povedal sem šalo.,Hotel sem ustvariti bolj sproščeno vzdušje pogovora.,effect,1
236,Naredila se mu je luknja v nogavici.,Na nogo mu je padlo kladivo.,Zlomil si je prst na nogi.,cause,1
237,Manipuliral je s prijateljem.,"Priznal je, da je bil netakten.",Zapekla ga je vest.,effect,1
238,Ravnatelj je suspendiral vpletene učence.,Ravnatelj je odpovedal pouk za tisti dan.,Na šolskem hodniku se je vnel pretep.,effect,0
239,Leta so ležali tam nedotaknjeni.,Družina je obujala spomine ob fotografijah.,Fotoalbumi so nabirali prah na podstrešju.,cause,0
240,Vsi v sobi so se pogovarjali.,Ženska je pripovedovala smešno zgodbo.,To je zmotilo najin pogovor.,cause,0
241,Stroj je delal naprej.,Zmanjkalo mi je detergenta za pranje.,V pralni stroj pralnice sem vtaknil nekaj kovancev.,effect,0
242,Napovedane so bile nevihte.,Bil je praznični konec tedna.,Družina je prestavila piknik.,cause,0
243,Bila je napihnjena.,V njej je bila luknja.,Iz napihljive žoge je uhajal zrak.,cause,1
244,Bilo mi je nelagodno.,Razjezil sem se.,Pogovor v skupini je počasi potonil v tišino.,effect,0
245,Papirček je zašumel.,Papirček se je raztrgal.,V pesti sem stisnil papirček od bombona.,effect,0
246,Zaslišal se je zvok.,Tipka se je zataknila.,Pritisnila je na klavirsko tipko.,effect,0
247,Šla je gledat njegov novi film.,Prosila ga je za avtogram.,Dekle je spoznalo svojega najljubšega igralca.,effect,1
248,Bilo je oblačno.,Bilo je megleno.,Vozila so se premikala počasi.,cause,1
249,Lestenec je padel s stropa.,Luči na lestencu so se prižigale in ugašale.,Lestenec je treščil na tla.,cause,0
250,Opraskala me je.,Pobožal sem jo.,Mačka je predla.,cause,1
251,Sestra ga je zašpecala.,Igrala sta se slepe miši.,Deček je porinil svojo sestro.,effect,0
252,Dal si je popraviti obleko.,Dal si je zloščiti čevlje.,Zredil se je.,effect,0
253,V službo sem prinesel prenosni računalnik.,V službo sem prinesel dežnik.,Na nebu so bili temni oblaki.,effect,1
254,Letalo je strmoglavilo.,Pilot je naredil napako.,Motor letala je bil pokvarjen.,effect,0
255,Na semaforju se je prižgala zelena luč.,Bližal se je tuleči rešilec.,Avtomobili so se premaknili na odstavni pas.,cause,1
256,Milo je bilo spolzko.,Milo je dišalo.,Dečku je zdrsnil iz rok kos mila.,cause,0
257,Gumb sem prišila nazaj.,Gumb sem prilepila nazaj.,S srajce mi je odpadel gumb.,effect,0
258,Hotela se je zahvaliti svojim oboževalcem.,"Ni hotela, da bi jo kdo prepoznal.",Zvezdnica je nosila sončna očala.,cause,1
