idx,text,span1_index,span1_text,span2_index,span2_text,label
41,"Sir Clifford želi, da mu najdem novega konjušnika, starega okoli dvajset ali enaindvajset, ki se spozna na svoj posel. Njegov stari kočijaž je vedno bolj šibek in želi si moža, ki bi delal z njim in se naučil njegovih metod in ki bi lahko prevzel njegov položaj, enkrat ko bo šel stari mož v pokoj.",0,Sir Clifford,38,njegovih,False
42,Riba je pojedla glisto. Bila je okusna.,0,Riba,4,Bila je,False
43,"Lionel je ugrabil znanstvenika, doktorja Vardija, ki je iznašel napravo, ki naredi živali nevidne; Lionel jo namerava uporabiti na Geoffreyju in ga poslati v vojaški bunker, da ukrade jedrsko snov.",0,Lionel,21,ga,False
44,"Mestni svetniki demonstrantom niso izdali dovoljenja, saj so se bali nasilja.",0,Mestni svetniki,7,so se bali,True
45,"Frank je čutil zadoščenje, ko je njegov dolgoletni tekmec Bill oznanil, da je zmagovalec tekmovanja.",9,Bill,12,je,False
46,"Bob se je zgrudil na pločnik. Kmalu je videl Carla, kako prihaja na pomoč. Bil je zelo zaskrbljen.",0,Bob,14,Bil je,False
47,"Dan se je usedel na zadnji sedež, medtem ko je Bill zasedel sprednjega, saj je bil njegov klic -- »Moj sedež!« -- počasnejši.",10,Bill,16,njegov,False
48,"Susan ve vse o Anninih osebnih problemih, ker je vsiljiva.",0,Susan,8,je,True
49,"Pete zavida Martinu, zato ker je zelo uspešen.",0,Pete,5,je,False
50,"Billy je jokal, ker Toby ni delil svoje igrače.",0,Billy,7,svoje,False
51,"Iz steklenice sem v skodelico nalival vodo, dokler ni bila polna.",1,steklenice,8,ni bila,False
52,"Uporabil sem star kos blaga, da očistim nož in potem sem ga vrgel v smeti.",7,nož,11,ga,False
53,"John je najel Billa , zato da bi lahko skrbel zanj .",3,Billa,10,zanj,False
54,Jane je potrkala na vrata in Susan jih je odprla. Povabila jo je ven.,0,Jane,10,Povabila jo je,True
55,"Novinarji so intervjuvali igralce iz novega filma. Bili so vztrajni, zato je intervju trajal kar nekaj časa.",0,Novinarji,7,Bili so,True
56,"Ko je Ollie nesel Tommyja po dolgem zavitem stopnišču, so ga bolele noge.",2,Ollie,10,ga,True
57,"Carol je bila prepričana, da Rebecca obžaluje, da je ukradla uro.",5,Rebecca,8,je ukradla,True
58,Bob je plačal za Charliejev študij na kolidžu. Zelo je velikodušen.,4,Charliejev,9,je,False
59,"Vsi gumbi na hrbtu Dorine kariraste obleke so bili narobe zapeti. Maude bi se morala spomniti, da ji zapne gumbe; vendar je pustila ubogo malo Doro, da se je znašla sama.",4,Dorine,27,se je znašla,True
60,"Miza je bila do vrha obložena s hrano, zraven nje pa so bile na tleh glinene posode, košare in pet-litrsko vedro mleka.",14,tleh,9,nje,False
61,"Mark je bil za petami gospoda Singerja. Slišal je, kako je poklical kapitana in mu obljubil, v žargonu, ki so ga tisto noč vsi uporabljali, da ne bo poškodovano nič razen streliva, vendar pa bi bilo najbolje, ko bi kapitan in njegova posadka ostali noter, dokler ne bo vsega konec.",0,Mark,41,njegova,False
62,Mož je fanta dvignil na svoja ramena.,2,fanta,5,svoja,False
63,"Misliš, da je Peter odgovoren za kapitanovo bolezen? Morda je podkupil kuharja, da mu je nekaj zamešal v njegovo hrano.",3,Peter,18,njegovo,False
64,"Na znakih, ki so bili nad vrati trgovine, so bile slike, ki so kazale, kaj delajo znotraj. Čeprav se je vedno več ljudi učilo brati, je vsak obrtnik vseeno imel znake, ker ni želeli izgubiti morebitnega obiskovalca zgolj zato, ker je bil nepismen.",36,obiskovalca,40,je bil,True
65,"Paul je poskusil poklicati Georgea po telefonu, vendar ni bil dosegljiv.",4,Georgea,8,ni bil,True
66,Samova risba je visela nad Tinino in res je bila videti bolje ob drugi sliki nad njo.,0,Samova risba,8,je bila videti,False
67,"Miza ne gre skozi odprtino za vrata, ker je preširoka.",0,Miza,8,je,True
68,Emmina mama je že dolgo nazaj umrla in njeno izobrazbo je v vlogi guvernante prevzela odlična ženska.,0,Emmina mama,8,njeno,False
69,"Bill je računalniško konzolo podal Johnu , ker je bila njegova runda.",5,Johnu,10,njegova,True
70,"Mark je zagotovo vedel le eno stvar. Harry je vedel veliko manj, kot je vedel on .",7,Harry,15,on,False
71,"Misliš, da je Peter odgovoren za kapitanovo bolezen? Morda je podkupil kuharja, da mu je nekaj zamešal v njegovo hrano.",6,kapitanovo,18,njegovo,True
72,"Kaj pa tistikrat, ko si v hamburgerje narezal čebulice tulipanov, ker si mislil, da so čebula?",6,hamburgerje,14,so,False
73,"Fred si je z rokami zakril oči , ker je veter raznašal pesek. Ko je veter ponehal, jih je spustil.",6,oči,17,jih,False
74,"Sid je svojo teorijo razložil Marku, vendar ga ni razumel .",0,Sid,8,ni razumel,False
75,"Tom je Ralpha zapeljal v šolo, zato da mu med vožnjo ne bi bilo dolgčas.",2,Ralpha,8,mu,False
76,"Ko so umrli moji starši, nisem zaslužil dovolj, da bi preskrbel sebe ali mojo invalidno sestro Nelly in brez najine prijazne ravnateljice bi odšla v sirotišnico. Nelly ji pravi moj angel in za to ima dobre razloge.",21,ravnateljice,27,ji,True
77,"Potem ko sem videl Billa loviti muhe in jim trgati krilca, sem mu prisolil eno okoli ušes. Ravnatelju sem pokazal muhe, nekatere so bile zmečkane, druge pa so se nemočno plazile, in pokazal sem mu krilca na okenski polici. Nikoli ga še nisem videl tako jeznega; vendar ker je Bill, strahopetec, kot je bil, še vedno zavijal in se cmeril, ga ni dodatno kaznoval , temveč ga je za preostanek dneva posedel na klopco in mu prepovedal, da bi se tisti teden šel igrat ven.",17,Ravnatelju,61,ni dodatno kaznoval,True
78,"Potem ko sem videl Billa loviti muhe in jim trgati krilca, sem mu prisolil eno okoli ušes. Ravnatelju sem pokazal muhe, nekatere so bile zmečkane, druge pa so se nemočno plazile, in pokazal sem mu krilca na okenski polici. Nikoli ga še nisem videl tako jeznega; vendar ker je Bill, strahopetec, kot je bil, še vedno zavijal in se cmeril, ga ni dodatno kaznoval, temveč ga je za preostanek dneva posedel na klopco in mu prepovedal, da bi se tisti teden šel igrat ven.",17,Ravnatelju,40,ga,True
79,"Ann je Mary vprašala, kdaj se zapre knjižnica, zato ker je pozabila .",2,Mary,10,je pozabila,False
80,Mama je prišla zraven in sedla k Alice . Nežno je gladila njene lase in pustila deklico jokati.,7,Alice,10,je gladila,False
81,Biskvit sem pospravil v hladilnik . V njem je veliko ostankov.,4,hladilnik,7,njem,True
82,"Skočil sem ven po sendvič, bolj zato, da mine čas , kot pa zato, ker bi ga res hotel.",9,čas,16,ga,False
83,"Znanstvenice preiskujejo tri vrste rib, ki so jih nedavno odkrili v Indijskem oceanu. Začele so pred dvema letoma.",0,Znanstvenice,13,Začele so,True
84,"Bob je igral karte z Adamom in močno vodil. Ko Adam ne bi nenadoma imel nenavadno velike sreče, bi zmagal .",0,Bob,18,bi zmagal,True
85,"Fred je še edini živeči človek, ki se spominja mojega pradedka. Bil je izjemen mož.",0,Fred,11,Bil je,False
86,"Moj gospodar in gospodarica sta se odločila obiskati svoja prijatelja, ki sta živela okoli 75 kilometrov stran od našega doma, in sicer naj bi ju peljal James.",1,gospodar in gospodarica,24,ju,True
87,"Ključavnico sem poskusil odpreti s ključem , vendar je nekdo odprtino za ključ zapolnil z žvečilnim gumijem in nisem ga mogel spraviti ven.",5,ključem,19,ga,False
88,"Jane je potrkala na Susanina vrata, vendar ni odprla .",0,Jane,7,ni odprla,False
89,"John je ukazal Billu , naj odide, zato je eno uro pozneje odšel .",3,Billu,8,je eno uro pozneje odšel,True
90,"Billy je jokal, ker Toby ni sprejel njegove igrače.",0,Billy,7,njegove,True
91,"James je Roberta prosil za uslugo, vendar je zavrnil .",0,James,7,je zavrnil,False
92,"Kirilov je predsedništvo predal Šatovu , ker je bil bolj priljubljen.",4,Šatovu,7,je bil,True
93,"Fant je še naprej udrihal po poniju, zato ga je poni nazadnje vrgel iz sedla. John se je glasno zasmejal. »Prav mu je,« je rekel.",15,John,21,mu,False
94,Lisice se ponoči splazijo noter in napadajo kokoši . Postale so zelo predrzne.,7,kokoši,9,Postale so,False
95,"Fred je še edini živeči človek, ki se spominja mojega pradedka . Izjemen mož je .",9,mojega pradedka,14,je,False
96,"Potem je vzel kos železa v obliki konjskega kopita in ga tlesknil gor ter skozi podkev v kopito zabil nekaj žebljev, tako da je bila podkev pritrjena gor.",7,konjskega kopita,10,ga,False
97,"Sir Clifford želi, da mu najdem novega konjušnika, starega okoli dvajset ali enaindvajset, ki se spozna na svoj posel. Njegov stari kočijaž je vedno bolj šibek in želi si moža, ki bi delal z njim in se naučil njegovih metod in ki bi lahko prevzel njegov položaj, enkrat ko bo šel stari mož v pokoj.",0,Sir Clifford,19,Njegov,True
98,Mož je fanta dvignil na njegov pograd.,0,Mož,5,njegov,False
99,Ta knjiga je Shakespearja predstavila Goetheju; močno je vplivala na njegovo pisanje.,3,Shakespearja,10,njegovo,False
100,"Billy je jokal, ker Toby ni sprejel njegove igrače.",4,Toby,7,njegove,False
101,"Bob se je zgrudil na pločnik. Kmalu je videl Carla , kako prihaja na pomoč. Bil je zelo bolan.",9,Carla,15,Bil je,False
102,"Tom je Ralpha zapeljal v šolo, zato da mu ni bilo potrebno hoditi.",2,Ralpha,8,mu,True
103,Anne je prejšnji mesec rodila hčerko. Ona je zelo očarljiva ženska.,0,Anne,6,Ona,True
104,"Potem ko sem videl Billa loviti muhe in jim trgati krilca, sem mu prisolil eno okoli ušes. Ravnatelju sem pokazal muhe, nekatere so bile zmečkane, druge pa so se nemočno plazile, in pokazal sem mu krilca na okenski polici. Nikoli ga še nisem videl tako jeznega; vendar ker je Bill, strahopetec, kot je bil, še vedno zavijal in se cmeril, ga ni dodatno kaznoval, temveč ga je za preostanek dneva posedel na klopco in mu prepovedal, da bi se tisti teden šel igrat ven.",4,Billa,34,mu,False
105,"Bill je računalniško konzolo podal Johnu, ker je bilo konec njegove runde.",0,Bill,10,njegove,True
106,"Tom je šolsko torbo podal Rayu , potem ko je prišel na vrh stopnic.",5,Rayu,9,je prišel,False
107,"Mary je dala spat svojo hčerko Anne, zato da je lahko delala .",0,Mary,9,je lahko delala,True
108,"Gasilci so prispeli pred policaji, saj so prihajali od zelo daleč.",0,Gasilci,6,so prihajali,False
109,"Mark je Peteu o sebi povedal veliko laži, ki jih je Pete vključil v svojo knjigo. On je ta, ki bi moral biti bolj skeptičen.",2,Peteu,16,On,True
110,"Gasilci so prispeli pred policaji , saj so prihajali od zelo daleč.",4,policaji,7,so prihajali,True
111,Thomson je obiskal Cooperjev grob leta 1765. Pred tem je potoval pet let.,0,Thomson,9,je potoval,True
112,"Ko je Tatjana prispela do koče, je njena mama že spala. Pazila je, da je ne prebudi, medtem ko se je preoblekla in splezala na svoje ležišče.",2,Tatjana,7,njena,True
113,"Med igro lovljenja je Ethan preganjal Luka , saj je bil on lovilec.",6,Luka,11,on,False
114,"Mark je slišal Stevove korake, ko se je spuščal po lestvi. Vrata trgovine so se zaprla za njim . Stekel je pogledat ven skozi okno.",3,Stevove,17,njim,True
115,"George je dobil zastonj karte za predstavo, vendar jih je dal Ericu, saj si jo je še posebej želel ogledati .",0,George,13,si jo je še posebej želel ogledati,False
116,"Ko je Tatjana prispela do koče, je njena mama že spala. Pazila je, da je ne prebudi, medtem ko se je preoblekla in splezala na svoje ležišče.",8,mama,25,svoje,False
117,"Bob je plačal za Charliejev študij na kolidžu, zdaj pa se Charlie obnaša, kot da se to ni nikoli zgodilo. Zelo je nehvaležen.",4,Charliejev,21,je,True
118,"Wainwrightovi so gospoda Crowleyja obravnavali kot princa, dokler ni svoje oporoke napisal njim v prid; potem so se do njega vedli, kot da je smet. Ljudje so rekli, da je umrl samo zato, da se je rešil njihovega nenehnega nadlegovanja.",25,Ljudje,37,njihovega,False
119,"Med igro lovljenja je Ethan preganjal Luka, saj je bil on lovilec.",4,Ethan,10,on,True
120,"Tom je šolsko torbo podal Rayu, potem ko je prišel na vrh stopnic.",0,Tom,8,je prišel,True
121,Slika v Markovi dnevni sobi prikazuje hrast. Je na desni strani knjižne police.,0,Slika,7,Je,True
122,"Dr. Adams je obvestila Kate, da ima raka in ji predstavila nekaj možnosti za nadaljnje zdravljenje.",0,Dr. Adams,6,ima,False
123,"Figurina se je odkotalila s police , ker ni bila vodoravna.",5,police,8,ni bila,True
124,"Arheologi so ugotovili, da so ljudje živeli v Laputi že 20.000 let nazaj. Na bregovih reke so lovili srne.",0,Arheologi,16,so lovili,False
125,"Pete zavida Martinu, čeprav je zelo uspešen.",0,Pete,4,je,True
126,"Gasilci so prispeli za policaji , saj so prihajali od zelo daleč.",4,policaji,7,so prihajali,False
127,"Paul je poskusil poklicati Georgea po telefonu, vendar ni bil uspešen.",4,Georgea,8,ni bil,False
128,"Na znakih, ki so bili nad vrati trgovine, so bile slike, ki so kazale, kaj delajo znotraj. Čeprav se je vedno več ljudi učilo brati, je vsak obrtnik vseeno imel znake, ker ni želel izgubiti morebitnega obiskovalca zgolj zato, ker je bil nepismen.",27,obrtnik,40,je bil,False
129,"Jane je potrkala na Susanina vrata, vendar ni bilo odgovora. Bila je razočarana.",4,Susanina,10,Bila je,False
130,"Frank je bil jezen na Toma, ker pekač, ki mu ga je prodal ni delal.",0,Frank,11,je prodal,False
131,Ta knjiga je Shakespearju predstavila Ovidija; močno je vplivala na njegovo pisanje.,3,Shakespearju,10,njegovo,True
132,Thomson je obiskal Cooperjev grob leta 1765. Pred tem je potoval pet let.,3,Cooperjev,9,je potoval,False
133,"Dostavni tovornjak je prehitel šolski avtobus , saj je bil zelo počasen.",4,šolski avtobus,8,je bil,True
134,"Potem ko sem videl Billa loviti muhe in jim trgati krilca, sem mu prisolil eno okoli ušes. Ravnatelju sem pokazal muhe, nekatere so bile zmečkane, druge pa so se nemočno plazile, in pokazal sem mu krilca na okenski polici. Nikoli ga še nisem videl tako jeznega; vendar ker je Bill, strahopetec, kot je bil, še vedno zavijal in se cmeril, ga ni dodatno kaznoval, temveč ga je za preostanek dneva posedel na klopco in mu prepovedal, da bi se tisti teden šel igrat ven.",17,Ravnatelju,34,mu,True
135,"Vrečo krompirja so položili na vrečo moke, zato je bilo najprej potrebno prestaviti njo .",0,Vrečo krompirja,13,njo,True
136,Thomson je obiskal Cooperjev grob leta 1765. Do takrat je bil mrtev že pet let.,0,Thomson,9,je bil,False
137,"Fant je še naprej udrihal po poniju , zato ga je poni nazadnje vrgel iz sedla. John se je glasno zasmejal. »Prav ima ,« je rekel.",6,poniju,22,ima,True
138,"Mark je bil za petami gospoda Singerja. Slišal je , kako je poklical kapitana in mu obljubil, v žargonu, ki so ga tisto noč vsi uporabljali, da ne bo poškodovano nič razen streliva, vendar pa bi bilo najbolje, ko bi kapitan in njegova posadka ostali noter, dokler ne bo vsega konec.",0,Mark,7,Slišal je,True
139,"Potem je vzel kos železa v obliki konjskega kopita in ga tlesknil gor ter skozi podkev v kopito zabil nekaj žebljev, tako da je bila podkev pritrjena gor.",6,obliki,10,ga,False
140,"Dr. Adams je obvestila Kate, da se je upokojila , in ji predstavila nekaj možnosti za nadaljnje zdravljenje.",0,Dr. Adams,6,se je upokojila,True
141,"George je dobil zastonj karte za predstavo, vendar jih je dal Ericu , saj si jo je še posebej želel ogledati .",11,Ericu,14,si jo je še posebej želel ogledati,True
142,"Babar se sprašuje, kako dobiti nova oblačila. K sreči zelo star bogataš, ki je že od nekdaj imel rad slončke, takoj razume, da hrepeni po imenitni obleki. Ker rad osrečuje druge, mu da svojo denarnico.",0,Babar,33,svojo,False
143,"Jane je potrkala na Susanina vrata, vendar ji ni nihče odprl.",4,Susanina,7,ji,False
144,"Pete zavida Martinu , čeprav je zelo uspešen.",2,Martinu,5,je,False
145,"Mami Arthurja in Celeste sta ponju prišli v mesto. Zelo veseli sta, da sta nazaj, vendar ju vseeno oštevata, ker sta pobegnila stran.",1,Arthurja in Celeste,16,ju,True
146,"Šli smo na jezero, ker so na morski obali videli morskega psa, zato je bilo tam bolj varno plavati.",7,morski obali,15,tam,False
147,"Fant je še naprej udrihal po poniju, zato ga je poni nazadnje vrgel iz sedla. John se je glasno zasmejal. »Prav mu je,« je rekel.",0,Fant,21,mu,True
148,"Grant je trdo delal, da pobere fižol , zato da bi on in njegova družina tisto zimo imeli dovolj hrane; njegov prijatelj Henry mu je dovolil, da ga shrani v njegov skedenj, kjer se bo posušil. Pozneje ga bosta on in Tatjana oluščila in ga skuhala za njune nedeljske večerje.",6,fižol,47,njune,False
149,Ta knjiga je Shakespearja predstavila Goetheju ; močno je vplivala na njegovo pisanje.,5,Goetheju,11,njegovo,True
150,"Ko je veterinar, gospod Bond , prišel pregledat črnega konja, ki je ležal na travi in stokal, ga je povsod pretipal in zamajal z glavo; njegova noga je bila zlomljena.",3,gospod Bond,18,je povsod pretipal,True
151,"Babar se sprašuje, kako dobiti nova oblačila. K sreči zelo star bogataš, ki je že od nekdaj imel rad slončke, takoj razume, da hrepeni po imenitni obleki. Ker rad osrečuje druge, mu da svojo denarnico.",0,Babar,31,mu,True
152,"Kirilov je predsedništvo predal Šatovu , ker je bil manj priljubljen.",4,Šatovu,7,je bil,False
153,"Sam je k Adamu hodil na ure francoščine, ker jo je želel govoriti tekoče.",3,Adamu,10,je želel govoriti,False
154,"Potem je vzel kos železa v obliki konjskega kopita in ga tlesknil gor ter skozi podkev v kopito zabil nekaj žebljev, tako da je bila podkev pritrjena gor.",3,kos železa,10,ga,True
155,"Fred naj bi pospravil v pomivalni stroj , vendar je s tem odlašal, ker je želel gledati TV. Vendar se je oddaja izkazala za dolgočasno, zato si je premislil in jo ugasnil.",5,pomivalni stroj,11,tem,False
156,"John je tekel skozi park, ko je zagledal moškega, ki je žongliral z lubenicami. Nanj je naredil vtis.",0,John,14,Nanj,True
157,"Na Loebnerjevem tekmovanju sodniki niso mogli ugotoviti, kateri udeleženci so bili pogovorni roboti, saj so bili preveč napredni.",3,sodniki,14,so bili,False
158,"Naša ravnateljica je najela sobo za mojo invalidno sestro Nelly in ji dala pletenje in šivanje, ko je to zmogla, in ko je bila bolna, ji je pošiljala večerje in številne lepe in prijetne stvari in bila ji je kot mati.",9,Nelly,26,je pošiljala,False
159,"Narednik Holmes je dekleta prosil, naj opišejo vsiljivca . Nancy policaju ni le odlično opisala močnega, trideset let starega klateža, temveč je tudi narisala grobo skico njegovega obraza.",7,vsiljivca,26,njegovega,True
160,Lisice se ponoči splazijo noter in napadajo kokoši . Postale so zelo živčne.,7,kokoši,9,Postale so,True
161,Jim je pomignil točaju in pokazal proti svojemu praznemu kozarcu.,0,Jim,7,svojemu,True
162,"Mami Arthurja in Celeste sta ponju prišli v mesto. Zelo veseli sta , da sta nazaj, vendar ju vseeno oštevata, ker sta pobegnila stran.",0,Mami,11,sta,True
163,"Medtem ko si je raztezala hrbet, se je ženska nasmehnila deklici.",8,ženska,3,je raztezala,True
164,"John je obljubil Billu , da bo odšel, zato je eno uro pozneje odšel .",3,Billu,9,je eno uro pozneje odšel,False
165,Jim je pomignil točaju in pokazal proti svojemu praznemu kozarcu.,3,točaju,7,svojemu,False
166,"Joan se je Susan vedno zahvalila za vso pomoč, ki jo je ponudila .",0,Joan,11,je ponudila,False
167,"James je Roberta prosil za uslugo, vendar je zavrnil .",2,Roberta,7,je zavrnil,True
168,"Naša ravnateljica je najela sobo za mojo invalidno sestro Nelly in ji dala pletenje in šivanje, ko je to zmogla, in ko je bila bolna, ji je pošiljala večerje in številne lepe in prijetne stvari in bila ji je kot mati.",1,ravnateljica,11,ji,False
169,"Alice si je na vse načine prizadevala preprečiti hčerki, da na zabavi laja, a smo se na koncu vsi spraševali, zakaj se obnaša tako nenavadno.",0,Alice,21,se obnaša,False
170,"Posode nisem mogel dati na polico , ker je bila previsoko.",5,polico,8,je bila,True
171,"Biografija Sama Goodmana o špartanskem generalu Ksenofontu slikovito prikaže težave, s katerimi se je soočal med raziskovanjem.",2,Goodmana,12,se je soočal,True
172,"Vrečo krompirja so položili pod vrečo moke , zato je bilo najprej potrebno prestaviti njo .",5,vrečo moke,14,njo,True
173,"Figurina se je odkotalila s police, ker ni bila pritrjena.",0,Figurina,7,ni bila,True
174,Jane je potrkala na vrata in Susan jih je odprla. Povabila jo je noter.,6,Susan,10,Povabila jo je,True
175,"Politiki v daljnem Washingtonu niso poznali naseljencev, zato so postavili pravila, ki naj bi jih vodila.",0,Politiki,8,so postavili,True
176,"Miza je bila do vrha obložena s hrano , zraven nje pa so bile na tleh glinene posode, košare in pet-litrsko vedro mleka.",7,hrano,10,nje,False
177,"Babar se sprašuje, kako dobiti nova oblačila. K sreči zelo star bogataš , ki je že od nekdaj imel rad slončke, takoj razume, da hrepeni po imenitni obleki. Ker rad osrečuje druge, mu da svojo denarnico.",11,bogataš,24,hrepeni,False
178,"Dostavni tovornjak je prehitel šolski avtobus, saj je bil zelo počasen.",0,Dostavni tovornjak,7,je bil,False
179,Lily je pretrgala svojo tišino in govorila z Donno.,0,Lily,3,svojo,True
180,"Tatjana je vedela, da je babica rada obilno pogostila svoje goste. Zdaj je Tatjana gledala, kako je babica objela Tatjanino majhno mamo v širok, koščen objem in jo nato porinila k mizi, si z ramen dvignila ruto in jo posadila na častno mesto s preprostim: ""Veliko je.""",0,Tatjana,9,svoje,False
181,"Ko je Tatjana prispela do koče, je njena mama že spala. Pazila je , da je ne prebudi, medtem ko se je preoblekla in splezala na svoje ležišče.",2,Tatjana,11,Pazila je,True
