idx,label,passage,question
14,True,"Mojstri iluzij (serija filmov) – Mojstri iluzij je serija trilerjev o ropih, ki so jo napisali Ed Solomon, Boaz Yakin in Edward Ricourt. Osredotočajo se na dejanja ekipe iluzionistov po imenu ""Štirje jezdeci"", ki izvajajo skoraj nemogoče rope. V filmih med drugim igrajo Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Francp, Michael Cain, Lizzy Caplan in Morgan Freeman. Prvi film je izšel leta 2013, medtem ko je drugi izšel leta 2016, tretji film pa je trenutno v fazi nastajanja in ga nameravajo izdati leta 2019. Serija je prejela mešane ocene kritikov in občinstva ter po vsem svetu zaslužila skoraj 700 milijonov ameriških dolarjev.",Ali prihaja tretji del filmske serije Mojstri iluzij?
15,False,"Enajstmetrovke (nogometna zveza) – Za statistične namene se enajstmetrovke običajno ločuje od tekme, ki poteka pred njimi. V primeru dveh tekem se obe tekmi še vedno štejeta bodisi kot dva neodločena rezultata bodisi kot ena zmaga in en poraz; v primeru ene tekme pa se ta konča z neodločenim izidom. To je v nasprotju s tekmo, dobljeno v podaljšku, kjer je rezultat ob koncu rednega dela zanemarjen. Zadete enajstmetrovke ne štejejo za gole, ki jih je igralec dosegel za namene svojih osebnih rekordov ali točkovanju za ""zlati čevelj"".",Ali zadete enajstmetrovke štejejo za točkovaje za zlati čevelj?
16,False,"Cutthroat Kitchen – Cutthroat Kitchen je kuharska oddaja, ki jo vodi Alton Brown in so jo na televizijski mreži Food Network predvajali od 11. avgusta 2013 do 19. julija 2017. V njej nastopajo štirje kuharji, ki tekmujejo v izločilnem kuharskem tekmovanju v treh krogih. Tekmovalci sodelujejo na dražbah, na katerih lahko kupijo priložnosti za medsebojno sabotažo. Vsak kuhar na začetku oddaje prejme 25.000 ameriških dolarjev, zadnji tekmovalec, ki ostane v oddaji, pa obdrži ves denar, ki ga ni porabil na dražbah. Oddaja se je končala julija 2017 s petnajsto sezono. Serija je v nekaterih osnovnih elementih podobna drugim tekmovanjem na izpadanje s štirimi kuharji v treh krogih televizijske mreže Food Network, vključno s serijama Chopped in Guy's Grocery Games. V omenjenih oddajah so se pomerili tudi številni tekmovalci oddaje Cutthroat Kitchen.",Ali bo izšla nova sezona oddaje Cutthroat Kitchen?
18,True,"Polvilini – V izmišljenem svetu Srednjega sveta J.R.R. Tolkiena so Polvilini (Sindarin singular Peredhel, plural Peredhil, Quenya singular Perelda) otroci Vilinov in Ljudi. Med njimi so bili najpomembnejši otroci med Eldarji (vilini, ki so odšli v Valinor) in Ljudmi (Možje treh rodbin zgodnjih mož, ki so se povezali z Eldarji v njihovi vojni proti Morgothu).",Ali se lahko v svetu Gospodarja prstanov Ljudje parijo z Vilini?
19,True,"The Boy in the Plastic Bubble – The Boy in the Plastic Bubble je ameriški televizijski dramski film iz leta 1976, ki sta ga navdahnili življenjski zgodbi Davida Vetterja in Teda DeVita, ki sta trpela za slabim imunskim sistemom. V njem igrajo John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy in P.J. Soles. Filmje napisal Douglas Day Stewart, izvršno sta ga producirala Aaron Spelling in Leonard Goldberg (ki je takrat produciral  film Starsky in Hutch ter serijo Čarlijevi angelčki), režiral pa ga je Randal Kleiser, ki je kmalu zatem spet sodeloval s Travolto v filmu Briljantina. Izvirno glasbo je sestavil Mark Snow. Tematsko pesem ""What Would They Say"" je napisal in odpel Paul Williams. Film so posneli na srednji šoli Williama Howarda Tafta v soseski Woodland Hills.",Ali film The Boy in the Plastic Bubble temelji na resnični zgodbi?
20,True,"A priori in a posteriori – Ta dva izraza se uporablja v povezavi s sklepanjem (epistemologija) za razlikovanje med ''potrebnimi zaključki iz prvotnih predpostavk'' (tj. kaj mora priti pred čutnim zaznavanjem) in ''zaključki, ki temeljijo na čutnem zaznavanju'’ (ki mu mora slediti). Tako lahko razjasnimo dve vrsti znanja, utemeljitev ali argumentacijo:","Ali se znanost začne s predpostavko, da je treba znanje najprej pridobiti z opazovanjem?"
22,True,"Pitje alkohola na javnih mestih – Na Danskem je pitje alkohola na javnih mestih v splošnem zakonito. Zakon prepoveduje ""kršenje javnega reda in miru"". Torej je splošna uporaba sprejemljiva. Več kavarn nudi tudi zunanjo strežbo na istih površinah.",Ali je na Danskem dovoljeno pitje alkohola na javnih mestih?
25,True,"Seznam streljanj enajstmetrovk na Svetovnem prvenstvu FIFA -- To je seznam vseh streljanj enajstmetrovk, ki so se zgodile v finalu turnirjev Svetovnega prvenstva FIFA. Streljanje enajstmetrovk je bilo uvedeno za določitev zmagovalca v primeru izenačenja na Svetovnem prvenstvu leta 1978, a se do leta 1982 ni nikoli zgodilo. Naslov prvaka Svetovnega prvenstva je bil s streljanjem enajstmetrovk prvič dosežen leta 1994. To se je zgodilo samo še leta 2006. Do konca leta 2018 je na Svetovnem prvenstvu potekalo 30 streljanj enajstmetrovk. Od teh sta le dve dosegli stopnjo »sudden death« (angleško za takojšnja smrt), ko sta bili ekipi po končanih ""petih strelih"" še vedno izenačeni.",Ali se na Svetovnem prvenstvu izvaja streljanje enajstmetrovk?
26,True,"Kingdom (manga) – Kingdom (キングダム, Kingudamu) je japonska serija mang, ki jo je napisal in ilustriral Yasuhisa Hara (原泰久, Hara Yasuhisa). Manga orisuje izmišljeno obdobje bojujočih se držav in jih primarno predstavlja skozi oči vojne sirote Xina in njegovih tovarišev, ko se bori za to, da bi postal najpomembnejši general pod soncem in s tem prvič v zgodovini združil Kitajsko. Serijo mang je produkcijska hiša Pierrot razvila v anime serijo z 38 epizodami, ki so se predvajale od 4. junija 2012 do 25. februarja 2013. Napovedana je bila druga sezona, ki je bila predvajana od 8. junija 2013 do 1. marca 2014. Anime različico v angleškem jeziku je licenciralo podjetje Funimation.",Ali manga Kingdom temelji na resnični zgodbi?
27,True,"Evropski gospodarski prostor – Od leta 2014 so pogodbenice EGP-ja 3 od 4 držav članic Efte in 27 od 28 držav članic EU. 28. in najnovejša članica EU, Hrvaška, je novembra 2013 končala pogajanja o pristopu k EGP, od 12. aprila 2014 pa začasno uporablja sporazum, dokler ga ne ratificirajo vse države članice EGP-ja.",Ali je Hrvaška del Evropskega gospodarskega prostora?
28,True,"Poroka po smrti – Poroka po smrti (ali nekrogamija) je zakonska zveza, v kateri je eden od udeležencev že umrl. V Franciji je takšna oblika poroke zakonita, podobni obredi pa se izvajajo v Sudanu in na Kitajskem. Od prve svetovne vojne naprej je v Franciji vsako leto na stotine prošenj, od katerih so bile številne odobrene.",Ali se v Franciji lahkoporočiš z umrlo osebo?
29,False,"Fiziološka raztopina (medicina) – Fiziološka raztopina, znana tudi kot solna raztopina, je mešanica natrijevega klorida v vodi in se v medicini uporablja v številne namene. Če se jo nanese na prizadeto mesto, se uporablja za čiščenje ran, odstranjevanje kontaktnih leč, in pomaga pri suhih očeh. Z injiciranjem v veno se uporablja za zdravljenje dehidracije, na primer zaradi gastroenteritisa in diabetične ketoacidoze. Uporablja se tudi za redčenje drugih zdravil, ki se uporabljajo intravenozno.",Ali je fiziološka raztopina ista stvar kot natrijev klorid?
30,True,"Bubonska kuga – Pri zdravljenju bubonske kuge je učinkovitih več vrst antibiotikov. Mednje spadajo aminoglikozidi, kot so streptomicin in gentamicin, tetraciklini (zlasti doksiciklin) in fluorokinolon ciprofloksacin. Smrtnost pri zdravljenih primerih bubonske kuge, je približno 1–15 %, v primerjavi s smrtnostjo pri nezdravljenih primerih, ki je  40–60 %.",Ali obstaja zdravljenje za bubonsko kugo?
31,True,"Joyce Summers – Premisa serije je, da je Buffy najnovejša izganjalka, mlada ženska, ki jo mistične sile obdarijoz nadčloveškimi močmi, da se bori in premaguje vampirje, demone in druge zlobne sile v izmišljenem mestu Sunnydale. Kot vsaka izganjalka pred njo je bila tudi sama pri 15 letih izbrana in obveščena o svoji usodi. Njena mama se ne zaveda hčerinih moči in odgovornosti, dokler Buffy ob koncu druge sezone televizijske serije ni prisiljena v to, da ji vse razkrije. Čeprav je Joyce nad tem razkritjem šokirana, si hitro opomore in ostaja v oporo Buffy in njenemu ozkemu krogu prijateljev, ki ji pomagajo in se imenujejo Scooby Gang. Sčasoma je Joyce sposobna sprejeti Buffyjin nevarni boj z demoni in celo postane ponosna in spoštljiva do sposobnosti svoje hčere. Njena naravna smrt zaradi bolezni v peti sezoni Buffy prisili, da se sooči s tem, da mora odrasti.","Ali Buffyjina mama ve, da je hčerka izganjalka?"
32,False,"Poševni stolp v Pisi – Stolp se je začel nagibati med gradnjo v 12. stoletju zaradi neprimernih temeljev na tleh, ki so na eni strani premehka in ne omogočajo primerne podpore glede na težo konstrukcije. Nagib se je v desetletjih, preden so konstrukcijo v 14. stoletju dokončali, vedno večal. Postopoma se je nagib še povečeval, dokler strukture niso stabilizirali (in nagiba delno popravil) v poznem 20. in začetku 21. stoletja.",Ali je bil poševni stolp v Pisi zgrajen poševno?
33,False,"Ni vse zlato, kar se sveti (film iz leta 2008) – Ni vse zlato, kar se sveti je ameriški pustolovsko-romantični film podjetja Warner Bros. Picures iz leta 2008. Zgodba govori o paru, ki se je pred kratkim ločil, in ob iskanju izgubljenega zaklada ponovno oživlja svoje romantično življenje. V filmu, ki ga je režiral Andy Tennant, ponovno vidimozvezdnika filma Kako se znebiti fanta v 10 dneh, Matthewa McConaugheyja in Kate Hudson.","Ali film Ni vse zlato, kar se sveti temelji na resnični zgodbi?"
35,True,"Ustava zvezne države (Avstralija) – V Avstraliji ima vsaka zvezna država svojo ustavo. Pred sprejetjem ustave Avstralije je imela vsaka zvezna država svojo ustavo, ki je veljala za ustavo tedaj ločenih britanskih kolonij, vendar so vse države kot del federacije leta 1901 pristojnosti odstopile avstralskemu parlamentu.",Ali ima vsaka avstralska zvezna država svojo ustavo?
36,True,"Kračni blok – Kračni blok je mogoče diagnosticirati, ko trajanje kompleksa QRS na EKG preseže 120 ms. Desnokračni blok običajno povzroči podaljšanje zadnjega dela kompleksa QRS in lahko električno os srca premakne nekoliko v desno. Na EKG bo prikazan terminalni val R v odvodu V1 in nejasen val S v odvodu I. Levokračni blok razširi celoten QRS in v večini primerov električno os srca premakne v levo. EKG bo pokazal kompleks QS ali rS v odvodu V1 in monofazni val R v odvodu I. Druga običajna ugotovitev glede kračnega bloka je ustrezna neskladnost valov T. Z drugimi besedami, val T se odkloni nasproti končnega odklona kompleksa QRS. Kračni blok, zlasti levokračni blok, lahko privede do srčne disinhronije. Sočasna pojavitev levo- in desnokračnega bloka vodi do nastanka celotnega bloka AV.",Ali ima človek lahko desno- in levokračni blok?
37,False,"Šah – V neformalnih igrah se ""šah"" običajno napove pri potezi, ki nasprotnikovega kralja postavi v šah. Na uradnih tekmovanjih pa se šah le redko napove.",Ali moramo pri šahu vedno reči šah?
38,False,"Avstralski govedar – Pasma texas heeler je križanec med avstralskim govedarjem in avstralskim ovčarjem, ki ga je fundacija Animal Research Foundation (ARF) prvič registrirala leta 1970. Fundacija ARF je avstralske govedarje brez dokumentov od leta 1965 registrirala kot ""australian cattledog queensland heelers"" in je bila prva organizacija, ki je priznala pasmo avstralski ovčar. Čeprav je bil prvotno vzrejen zaradi svoje sposobnosti za pašo živine, se pasmo texas heeler vse bolj uporablja kot hišnega ljubljenčka in za tekme v pasjih športih. Kot pri večini križancev je tudi velikost in videz psa pasme texas heeler odvisna od pasme staršev.",Ali je avstralski ovčar ista pasma kot avstralski govedar?
39,False,"Paradižnikov pire – Paradižnikov pire je gosta tekočina, ki nastane pri kuhanju in precejanju paradižnikov. Paradižnikov koncentrat, paradižnikov pire in paradižnikova mezga se razlikujejo po konsistenci; paradižnikov pire je gostejši in izrazitejšega okusa kot mezga.",Ali je paradižnikov pire ista stvar kot paradižnikova mezga?
40,False,"Brata Blues – Brata Blues je ameriška glasbena skupina, ki se zavzema za oživljanje bluesa in soula in sta jo leta 1978 v okviru glasbenega skeča v oddaji Saturday Night Live ustanovila komedijanta Dan Aykroyd in John Belushi. Belushi in Aykroyd sta bila frontmana skupine; Belushi v vlogi vodilnega vokalista ''Jolieta'’ Jaka Bluesa, Aykroyd pa je nastopil kot Elwood Blues in je bil pevec ter igral orglice. Skupino so sestavljali znani in cenjeni glasbeniki, kot glasbeni gostje pa so prvič nastopili 22. aprila 1978 v epizodi oddaje Saturday Night Live, kjer so začeli oddajo s skladbo  »Hey Bartender«, kasneje pa so zaigrali še skladbo »Soul Man«.",Ali komedija Brata Blues temelji na resnični zgodbi?
44,True,"Zahvalni dan (Združene države Amerike) – Zahvalni dan je državni praznik, ki ga v ZDA praznujejo na četrti četrtek v novembru. Praznik izvira iz praznika žetve. Zahvalni dan se na državni ravni praznuje od leta 1789, potem ko je kongres zahteval, da ga kot takšnega razglasi George Washington. Kot zvezni praznik se praznuje že od leta 1863, ko je med ameriško državljansko vojno predsednik Abraham Lincoln razglasil državni dan ""zahvale in hvale našemu dobrotljivemu Očetu, ki živi v nebesih"", ki se praznuje na zadnji četrtek v novembru. Zahvalni dan je skupaj z božičem in novim letom del širšega obdobja jesensko-zimske praznične sezone v ZDA.",Ali se zahvalni dan vedno praznuje na zadnji četrtek v mesecu?
45,True,"Gospodar prstanov – Gospodar prstanov je epski fantazijski roman, ki ga je napisal angleški avtor in učenjak J. R. R. Tolkien. Zgodba se je začela kot nadaljevanje Tolkienovega fantastičnega romana Hobit iz leta 1937, vendar se je sčasoma razvila v veliko večje delo. Roman Gospodar prstanov, postopno napisan med letoma 1937 in 1949, je eden najbolje prodajanih romanov vseh časov z več kot 150 milijoni prodanih izvodov.",Ali je bil roman Gospodar prstanov napisan za Hobitom?
46,False,"Padli angel (film iz leta 2016) – Decembra 2014 je bilo naznanjeno, da je Trpljenje, drugi del knjižne serije Padli angel, v nastajanju. Ni znano, ali bodo posneli film tudi po zadnjih dveh romanih Strast in Ekstaza ter romanu Unforgiven, ki je izpeljanka.. Leta 2017 je producent Kevan Van Thompson oboževalce vprašal, ali želijo, da po knjigi ""Trpljenje"" posnamejo film, kar kaže na to, da bi nadaljevanje še lahko nastalo.",Ali bo sledilo nadaljevanje filma Padli angel?
47,False,"Seznam Instagram računov z največ sledilci – Seznam vsebuje 50 najpriljubljenejših računov z največ sledilci na Instagramu, družabni platformi za deljenje fotografij. Od oktobra 2018 je uporabnik z največ sledilci sam Instagramov račun z več kot 260 milijoni sledilcev. Cristiano Ronaldo si prisluži naziv posameznika z največ sledilci, saj jih ima več kot 144 milijonov. Na spletnem mestu je dvanajst računov preseglo 100 milijonov sledilcev.",Ali ima kdo na Instagramu 1 milijardo sledilcev?
48,True,"Padmé Amidala – George Lucas, Rick McCallum in direktor kastinga Robin Gurland so za vlogo Padmé Amidala opravili avdicijo z več kot 200 igralkami. Za glogo so izbrali 16-letno igralko Natalie Portman. Produkcija Grozeče prikazni naj bi ""vloga zahtevala mlado žensko, ki bi bila prepričljiva v vlogi vladarke tistega planeta, a bi bila hkrati ranljiva in odprta"". Natalie Portman je Lucasa navdušila z igranjem v filmih Léon (Léon: The Professional) (1994) in Čedna dekleta (1996). Izjavil je: ""Iskal sem nekoga, ki je mlad in močan, podoben Leii. Natalie je poosebljala vse te lastnosti in še več.""",Ali je v  filmu Grozeča prikazen Padmé kraljica?
49,True,"Gospodar prstanov – Gospodar prstanov je epski fantazijski roman izpod peresa angleškega avtorja in učenjaka J.R.R. Tolkiena. Zgodba se je začela kot nadaljevanje Tolkienovega fantastičnega romana Hobit iz leta 1937, vendar se je sčasoma razvila v veliko večje delo. Roman Gospodar prstanov, postopno napisan med leti 1937 in 1949, je eden najbolje prodajanih romanov vseh časov z več kot 150 milijoni prodanih izvodov.",Ali je bil roman Gospodar prstanov velja za epsko delo?
50,True,"Znak evra – Znak evra (€) je valutni znak, ki se uporablja za evro, uradno valuto evroobmočja v Evropski uniji (EU). Zasnovo je Evropska komisija javnosti predstavila 12. decembra 1996. Mednarodna tričrkovna koda (po ISO-standardu ISO 4217) za evro je EUR. V Unicodu je kodiran z znakom evra U+20AC € (HTML &#8364; &euro; ). V angleščini je znak zapisan pred vrednostjo (na primer €10, in ne 10 €, za razliko od večine evropskih jezikov). V nekaterih slogovnih vodnikih, a ne v vseh, se pred znakom za evro ne zapisuje presledka.",Ali se znak evra zapisuje pred številko?
51,True,"Indukcijsko kuhanje – Pri skoraj vseh modelih indukcijskih kuhalnih plošč mora biti posoda za kuhanje izdelana ali pa vsebovati železne kovine, kot je lito železo ali nerjavno jeklo. Železo v loncu koncentrira tok, da v kovini proizvaja toploto. Če je kovina pretanka ali če ni dovolj uporna na tok, ogrevanje ni učinkovito. Večina indukcijskih plošč ne segreva bakrenih ali aluminijastih posod, ker magnetno polje ne more ustvariti koncentriranega toka, zato indukcijske plošče, primerne za vse kovine, za premagovanje tega učinkauporabljajo veliko višje frekvence. Kljub vsemu pa lahko za kuhanje uporabljate raznovrstno posodo, če jo postavite na ustrezen kovinski disk, ki deluje kot konvekcijska kuhalna plošča.",Ali se lahko na indukcijski kuhalni plošči uporablja nerjavno jeklo?
53,True,"Nepozorna slepota – V študiji iz leta 2015 so Cary Stothart, Walter Boot in Daniel Simons poskušali ponoviti in razširiti ugotovitve iz študije Grahama in Burka iz leta 2011 ter študije Stevena Mosta in sodelavcev iz leta 2000 na spletnem mestu Amazon Mechanical Turk na vzorcu 515 udeležencev različnih starosti. V tej študiji so morali udeleženci prešteti, kolikokrat so beli premikajoči se predmeti prečkali navpično središčno točko zaslona, pri čemer so zanemarili število črnih premikajočih se predmetov. Nepričakovani predmet v tem primeru je bil siv križ, ki se je po zaslonu na različnih razdaljah od navpične središčne točke (to je bilo manipulirano med udeleženci) premikal vodoravno. Ugotovili so, da se dovzetnost za nenamerno slepoto s starostjo povečuje, kar ponavlja ugotovitve Grahama in Burka. Pravzaprav so ugotovili, da se z vsakimi 10 leti življenjske dobe verjetnost za pojavitev nenamerne slepote za 1,3-krat poveča. Ugotovili so tudi, da se verjetnost nenamerne slepote povečuje, ko se razdalja med središčem pozornosti opazovalca in nepričakovanim predmetom poveča, kar ponavlja ugotovitve Mosta in sodelavcev. Prav tako so ugotovili, da se vpliv starosti na nenamerno slepoto ne spreminja v odvisnosti od oddaljenosti nepričakovanega predmeta od središča pozornosti, kar kaže na to, da koristno vidno polje ne narekuje povezave med starostjo in pojavitvijo nepozorne slepote.",Ali starost kakor koli vpliva na pozornost ali nepozorno slepoto?
54,False,"Sanskrt – Sanskrt spada v indoevropsko družino jezikov. Je eden od treh starodavnih dokumentiranih jezikov, ki so verjetno nastali iz skupnega prajezika, ki ga danes imenujemo  praindoevropski jezik:",Ali je bil sanskrt prvi jezik na svetu?
55,True,"Jack russell terier – Jack russell terier je majhen terier, ki so ga včasih uporabljali za lov na lisice. Dlaka je običajno bele barve in gladka, groba ali mešana, vendar je lahko kakršne koli barve.",Ali je jack russell terier majhna pasma?
56,False,"Air Force One – Vojno letalstvo ZDA običajno ne odreja spremstva lovskih letal predsedniškim letalom, ki letijo čez Združene države, vendar pa je do tega že prišlo, na primer v času napada na Svetovni trgovinski center.",Ali Air Force One potuje s spremstvom lovskih letal?
58,True,"The Star-Spangled Banner – ''The Star-Spangled Banner'' je uradna himna Združenih držav Amerike. Besedilo izvira iz pesmi ""Defense of Fort M’Henry"", ki jo je 14. septembra 1814 napisal takrat 35-letni odvetnik in ljubiteljski pesnik Francis Scott Key, potem ko je bil priča bombardiranju utrdbe McHenry z britanskimi ladjami kraljeve mornarice v pristanišču Baltimore med bitko za Baltimore leta 1812. Keyja je navdihnila velika ameriška zastava s 15 zvezdicami in 15 črtami, znana kot Star-Spangled Banner, ki je med ameriško zmago zmagoslavno plahutala nad utrdbo.",Ali je ameriška himna in Star-Spangled Banner ista stvar?
59,True,"Mednarodno letališče Neapelj – Mednarodno letališče Neapelj (IATA:  NAP, ICAO LIRN) (italijansko: Aeroporto Internazionale di Napoli) je mednarodno letališče v Neaplju v Italiji. Nahaja se 3,2 NM (5,9 km; 3,7 mi) severovzhodno od mesta v neapeljski četrti Capodichino. Letališče ima dve zgradbi terminalov: terminal 1 je namenjen za redne lete, terminal 2, ki je odmaknjen od letalskih stez, pa se uporablja za čarterske polete.",Ali je v Neaplju mednarodno letališče?
61,True,"Homologni kromosomi -- Par homolognih kromosomov je par enega materinega in enega očetovega kromosoma, ki se ob mejozi združita drug z drugim v celici. Homologni kromosomi imajo iste gene v istih lokusih, kjer s točkami na vsakem kromosomu omogočajo, da se par kromosomov pravilno poravna, preden se med mejozo loči. To je osnova za dedovanje po Mendelovih zakonih, ki zaznamuje vzorce dedovanja genetskega materiala enega organizma svojim potomcem z delitvijo starševske celice v danem času in področju.",Ali homologni kromosomi nosijo informacije za iste značilnosti?
63,True,"Pravilo natakarja -- Pravilo natakarja se nanaša na splošno prepričanje, da je človekov pravi značaj mogoče prepoznati iz tega, kako se vede do osebja ali delavcev v storitvenih dejavnostih, denimo do »natakarja«.  To je eno izmed pravil, ki jih je William H. Swanson zapisal v svoji knjigi 33 Unwritten Rules of Management (33 nenapisanih pravil vodenja), kjer je kopiral različico Dava Barryja: »Če je nekdo prijazen do vas, do natakarja pa nesramen, ni dober človek.«","Veliko izveš o človeku, ko vidiš, kako se obnaša do natakarja."
