premise,hypothesis,label,idx
"Greg Page, nekdanji boksarski prvak v težki kategoriji, ki je v boju leta 2001 utrpel hudo možgansko poškodbo, je umrl pri 50. Njegova žena Patricia je povedala, da je enkratni prvak WBA umrl v svojem domu v ameriškem Kentuckyju zaradi zapletov zaradi poškodb, ki jih je trpel v boju. Page je bil teden dni v komi po boju proti Daleu Croweju, ki je bil ustavljen v 10. krogu. Patricia Page je dejala, da je &quot;zdaj na boljšem mestu&quot;, potem ko je v ponedeljek sporočil, da je čez noč umrl v spanju.",Greg Page je bil prvak WBA.,entailment,15
"Sierra bo verjetno ostala v zaporu v zaporu okrožja Hillsborough v svoji rodni Tampi do naslednjega zaslišanja 20. decembra, kjer je pridržana brez varščine, kar bi ji preprečilo, da bi se v petek udeležila prireditve v Washingtonu, tudi če bi še imela dovoljenje za nastop . Sierra je bila v zaporu od začetka meseca po prepiru s policisti pred nočnim klubom v Tampi, iz katerega je bila izgnana. Obtožena je neurejene zastrupitve in upiranja aretaciji.",Sierra je nekoč prišla do finala &quot;American Idol&quot;.,not_entailment,16
"Vendar pa je Brazilija od leta 1987 sprejela ukrepe za dramatično zmanjšanje uničenja, vključno s povečanim izvrševanjem in odpravo davčnih spodbud, ki so privedle do obsežnega čiščenja zemljišč.","V začetku devetdesetih let je Brazilija začela ukrepati, da bi rešila deževni gozd.",not_entailment,17
"FIFA je prejela 11 ponudb za gostovanje turnirjev svetovnega pokala FIFA 2018 in 2022, mednarodnega nogometnega tekmovanja, na katerem so tekmovale moške reprezentance. Države, ki se potegujejo za gostiteljico turnirja, so Avstralija, Anglija, Indonezija, Japonska, Mehika, Katar, Rusija, Južna Koreja in ZDA, ki imajo posamezne ponudbe, skupne ponudbe pa Belgija-Nizozemska in Španija-Portugalska. Izbrane ponudbe veljajo za turnirja 2018 in 2022, dve ponudbi pa samo za turnirja 2022. Katar in Južna Koreja se potegujeta samo za turnir 2022. Dve zmagovalni ponudbi bo decembra 2010 izbral 24-članski izvršni odbor FIFA. Predsednik FIFA Sepp Blatter je dejal: &quot;Zelo smo veseli fantastične stopnje zanimanja za naše vodilno tekmovanje, pri čemer so vsi začetni ponudniki potrdili svojo kandidaturo.&quot;",Sepp Blatter je predsednik FIFA.,entailment,18
"Ameriška surova nafta je poravnala 1,32 dolarja in znašala 42,83 dolarja za sod.","Ameriška surova nafta se je spustila na zaključnih 1,32 dolarja na 42,83 dolarja za sod.",not_entailment,19
"WINNENDEN, Nemčija ― Najstniški orožnik je v sredo v divjanju, ki se je začelo v šoli v bližini Stuttgarta na jugu Nemčije in končalo v bližnjem mestu, ubil 15 ljudi, večino žensk, ki se je nato ubil, potem ko ga je policija ranila. Zaradi napada je Nemčija, ki je po podobnem napadu v šoli pred sedmimi leti poostrila strog nadzor nad orožjem, s težavo razumela pokol, ki ga je spet doletela, država z razmeroma malo nasilnega zločina. Leta 2002 je strelec ubil 16 ljudi, preden se je ubil v šoli v Erfurtu na vzhodu Nemčije.",Leta 2002 je blizu Stuttgarta fant ustrelil 16 ljudi.,not_entailment,20
"Veliko upanja se naslanja na prodajo posesti Talisman v okrožjih Palm Beach in Hendry, kar je podpredsednik Al Gore lani z veliko pompe napovedal ob 50-letnici narodnega parka Everglades.",Everglades National Park se nahaja na Floridi.,not_entailment,21
"Virus stekline okuži centralni živčni sistem, kar povzroči encefalopatijo in na koncu smrt. Zgodnji simptomi stekline pri ljudeh so nespecifični in vključujejo vročino, glavobol in splošno slabo počutje.",Steklina je pri ljudeh usodna.,entailment,22
"Ameriška tobačna podjetja so večino četrtletij izkazovala dobiček zaradi izvozne prodaje cigaret in diverzifikacije prodanih izdelkov, vključno s hrano.",PM je na trge pogosto vstopal tako s cigaretami kot s hrano.,not_entailment,23
"Razvoj kmetijstva s strani zgodnjih ljudi pred približno 10.000 leti je bil škodljiv tudi za številne naravne ekosisteme, saj so jih sistematično uničevali in nadomeščali z umetnimi različicami.",Ljudje so obstajali pred 10.000 leti.,entailment,24
"Dva mlada voditelja puča, Pibul Songgram in Pridi Phanomyang, oba izobražena v Evropi in pod vplivom zahodnih idej, sta v naslednjih letih prevladovala nad tajsko politiko.",Pibul je bil mlad vodja.,entailment,25
Lin Piao je bil navsezadnje ustvarjalec Maove &quot;Rdeče knjige&quot; citatov.,Lin Piao je napisal &quot;Rdečo knjigo&quot;.,entailment,26
"Ko bolniki prekinejo zdravljenje z antibiotiki, se preživele bakterije vrnejo z maščevanjem, pogosto pa mutirajo, da se uprejo terapiji.",Bakterija zmaga v vojni proti antibiotikom.,not_entailment,27
"Bundesbank je sprva nasprotovala uvedbi evra, a je bila prisiljena, da ga sprejme v luči političnega pritiska kapitalističnih politikov, ki so podpirali njegovo uvedbo.",Uvedba evra je nasprotovala.,entailment,28
"Odbor za tisk oboroženih sil (COPREFA) je priznal, da so vladne enote v teh spopadih utrpele 11 žrtev in dodal, da so upornikom povzročili tri žrtve.",Vladne čete so ubile tri upornike.,entailment,29
"Ena ekonomska študija ne bo osnova kanadskih odločitev o javni politiki, vendar Eastonova raziskava dokončno kaže, da ima legalizacija marihuane gospodarske koristi.",Legalizacija zdravil ima koristi.,entailment,30
"Arheologi so v 4.000 let stari egiptovski nekropoli, v kateri je bilo 53 grobnic, našli približno 30 lepo ohranjenih mumij. Ekipa nadzornika starin za srednji Egipt dr. Abdel-Rahman El-Ayedi je ustanovila njegovo arheološko najdišče v oazi Faiyum blizu egiptovske piramide El-Lahun, ki je južno od Kaira. Poleg mumij je ekipa našla maske, amulete, glinene posode in darilno mizo v pogrebni kapeli. Kapela sega približno v leto 30 pred našim štetjem do 337 našega štetja.",Na jugu Kaira je bilo 30 lepo ohranjenih mumij.,entailment,31
"Krvavitve iz prebavil se lahko pojavijo kot škodljiv učinek nesteroidnih protivnetnih zdravil, kot sta aspirin ali ibuprofen.",Aspirin preprečuje prebavne krvavitve.,not_entailment,32
"Nekdanji uslužbenec podjetja David Vance iz južnega Portlanda je dejal, da je Hooper veliko časa preživel na poti in se pogosto srečeval s strankami med Portlandom in Kitteryjem.",Hooper je državljan Portlanda.,not_entailment,33
"Ciper, razdeljen ali ne, se pridruži EU 1. maja.",Ciper je bil 1. maja razdeljen na dva dela.,not_entailment,34
"Svetovni voditelji so v četrtek izrazili zaskrbljenost, da bo Severna Koreja opustila šeststranske pogovore o jedrski razorožitvi in okrepila arzenal jedrskega orožja.","Severna Koreja pravi, da ima zaloge jedrskega orožja in gradi še več.",not_entailment,35
"Poleg ustanovitve volilne komisije zakoni zadevajo tudi državljanstvo, sporno vprašanje, saj so bili zakoni o državljanstvu poostreni, da bi enega izmed glavnih konkurentov Gbagboja izključili iz predsedniške tekme leta 2000, nekdanjega premierja Alassaneja Ouattare.",Gbagbo je konkurent Ouattare.,entailment,36
"Mohandas Karamchand Gandhi nikoli ni prejel Nobelove nagrade za mir, čeprav je bil zanjo med leti 1937 in 1948 petkrat nominiran.",Mohandas je leta 1989 prejel Nobelovo nagrado.,not_entailment,37
"Krščanski demokrati (CDU) so osvojili 35,2% glasov ali 225 poslanskih mest proti 34,3% za socialdemokrate kanclerja Gerharda Schroederja (SPD).","Zdi se malo verjetno, da bi prišlo do koalicije med socialdemokrati Gerharda Schroederja in Krščansko demokratsko zvezo Angele Merkel.",not_entailment,38
Edward VIII je kralj postal januarja 1936 in decembra abdiciral.,Kralj Edward VIII je abdiciral decembra 1936.,entailment,39
"Pripornik avstralskega zaliva Guantanamo David Hicks je dobil britansko državljanstvo in odprl vrata morebitni ponudbi za njegovo osvoboditev iz ameriškega zapora na Kubi. Sodnik Lawrence Collins z britanskega višjega sodišča je razveljavil zavrnitev britanske vlade državljanstva Hicksu, katerega mati se je rodila v Angliji. Sodnik Collins je dejal, da vlada &quot;nima pristojnosti, da zadrži ali odvzame državljanstvo&quot;. Sodnik Collins je dejal: &quot;Po mojem mnenju bi bilo neprimerno, če ne bi nudili pomoči, ki bi bila sicer zagotovljena, preprosto zato, ker se je domnevalo, da je tožnik vpleten v terorizem in s to državo ni imel predhodnih povezav.&quot; Hicksov odvetnik Stephen Grosz je dejal, da je bila odločitev prebojna. Dejal je, da zdaj ni nobenega razloga, da Hicks ne bi užival enake zaščite kot devet drugih britanskih državljanov, ki so bili brezplačno izpuščeni iz zaliva Guantanamo zaradi predstavništev britanske vlade.",Stephen Grosz je britanski odvetnik Davida Hicksa.,not_entailment,40
Rockweed komercialno nabirajo v Novi Škotski od poznih petdesetih let in je trenutno najpomembnejša komercialna morska alga v atlantski Kanadi.,Nabiramo morsko vegetacijo.,entailment,41
"Pakistanski predsednik Pervez Mušaraf je varnostnim silam naročil, naj odločno ukrepajo proti izgrednikom po atentatu na vodjo opozicije Benazir Bhutto. Zaradi nasilja je umrlo najmanj 44 ljudi in več deset ranjenih. G. Musharraf je vztrajal, da morajo biti ukrepi zaščiteni. Ayaz Gul iz VOA poroča iz Islamabada, da je izbruhnil tudi grenki spor glede tega, kako je 54-letna političarka umrla in kdo je stal za njenim atentatom.","Mušaraf je izgrednikom naročil, naj odločno ukrepajo proti varnostnim silam.",not_entailment,42
"Mesec dni po tem, ko je guverner David A. Paterson zavrnil svoj predlog za davek na sodo, je newyorški zdravstveni komisar napisal članek, ki zagovarja &quot;zajetne&quot; davke na gazirane pijače in športne pijače, ki vsebujejo sladkor. V članku je zapisano, da bi tak davek lahko bil največja blaginja za javno zdravje od davkov na tobak. Pooblaščenec dr. Thomas R. Frieden in Kelly D. Brownell z univerze Yale, njegova soavtorica, v New England Journal of Medicine trdita, da bi lahko davek od penija na unčo zmanjšal porabo za več kot 10 odstotkov in dvignil Samo v državi New York 1,2 milijarde dolarjev na leto.",Michael Bloomberg je župan New Yorka.,not_entailment,43
"Uradniki so povedali, da je med mrtvimi tudi finski osumljenec, ki pa ni navedel motiva za napad.","Uradniki so povedali, da je med mrtvimi tudi osumljenec, finski državljan.",entailment,44
"Britanija se je strinjala, da bo do 31. marca odpravila 150-miljsko vojaško zaščitno območje, uveljavljeno okoli otokov, odkar je leta 1982 nanje napadla Argentina.",Vojaško zaščitno območje okoli Falklandov je bilo odpravljeno.,entailment,45
"Tiskovni predstavnik lastnika trajekta PT Nur Budi je za tragedijo obtožil indonezijske pristaniške oblasti. &quot;Potniška zmogljivost trajekta je 205 ljudi, vendar je pristaniški upravnik sprejel več potnikov, saj so menili, da je to mogoče,&quot; je dejal. Državna agencija za meteorologijo in geofiziko pa je v petek objavila in sprožila opozorilni signal o visokih valovih. Izrecno je pisalo, da bi bile &quot;v soboto 10. in nedeljo 11. v indonezijskih vodah priča nevihtnim silovitim valovom&quot;, a kljub hudim opozorilom KM Teratai za morja.",Potonil je indonezijski trajekt s 300 potniki.,not_entailment,46
"Napetost in bitke med grško policijo in anarhističnimi demonstranti so potekale v središču Aten v Grčiji med protivojnimi demonstracijami 4. evropskega socialnega foruma, ki poteka v grški prestolnici, od 4. do 7. maja 2006. Pohod približno 1000 anarhistov se je končalo s spopadi med skupinami anarhistov in policijo. Policija je uporabila solzivec, podružnica grške banke, trgovina s hitro hrano in približno 50 izložb v osrednjih Atenah.",Neredi v Grčiji so se začeli 6. decembra.,not_entailment,47
"Primer Libije proti Veliki Britaniji in ZDA se nanaša na spor glede njihove zahteve po izročitvi Libijcev, obtoženih razstreljevanja letala Pan Am nad Lockerbiejem leta 1988.",En primer je vključeval izročitev libijskih osumljencev v bombardiranju Pan Am Lockerbie.,entailment,48
Argentina je pri programu privatizacije poiskala pomoč od Britanije in spodbudila britanske naložbe.,Argentina je poiskala strokovno znanje Združenega kraljestva o privatizaciji in kmetijstvu.,not_entailment,49
"Namesto ukrepanja proti kriminalu smo dobili zvezni register dolgih orožij, ki je postal napihnjena birokratska nočna mora za odgovorne lovce, kmete in podeželske Kanadčane. Davkoplačevalce je stalo približno 2 milijardi CA in ni naredil ničesar za zmanjšanje kriminala z orožjem. je rekel Harper. Konservativci so amnestirali neregistrirane lastnike orožja. Trenutno pred parlamentom ni nobene zakonodaje. Konservativni Garry Breitkreuz iz Saskatchewana je vložil račun, s katerim je ubil register dolgih pušk.",Garry Breitkreuz je član konservativne stranke.,entailment,50
"Raziskovalci v najnovejši študiji so eno skupino miši hranili s prehrano, pri kateri je 60 odstotkov kalorij prihajalo iz maščob. Prehrana se je začela, ko so bile miši, vsi moški, stari 1 leto, kar je srednja starost v dolgoživosti miši. Kot smo pričakovali, so miši kmalu razvili znake bližajoče se sladkorne bolezni s močno povečanimi jetri in začeli umirati veliko prej kot miši, ki so se prehranjevale s standardno prehrano.","Pri starosti enega leta so se samci miši prehranjevali s prehrano, pri kateri je 60 odstotkov kalorij prihajalo iz maščob.",entailment,51
"Vojakom, ki naj bi bili v arabskih pokrivalih, so obtožili streljanja na iraško policijo, ko so jih ustavili na cestni blokadi.","Vojaki so vozili civilni avto in bili oblečeni v civilna oblačila, ko je med njimi in iraškimi patruljami prišlo do streljanja.",not_entailment,52
"ZDA bi si želele, da bi se inšpektorji za orožje ZN vrnili v Irak, če bi Iračani sprejeli konkretne, pritrdilne in dokazljive ukrepe, &quot;da bi pokazali popolno sodelovanje&quot;, je dejala Clintonova.","Inšpektorji ZN za orožje bi lahko ostali v Iraku, je dejala Clintonova.",not_entailment,53
"12. avgusta je bataljon San Carlos naletel na mine, postavljene na njihovo pot, en vojak je bil ubit, dva pa sta bila hudo ranjena. Medtem so 10. avgusta urbani komandosi presenetili patruljni avtomobil in v avto spustili granato, štiri poškodovali in vozilo delno uničili.",Bataljon San Carlos je napadel patruljni avtomobil.,not_entailment,54
"Pse, ki so vohali bombe, so pripeljali v Rodriguezovo stanovanje Mulberry St.","Psi, ki njuhajo bombe, so bili ocenjeni v Rodriguezovem stanovanju Mulberry St.",not_entailment,55
"Presenetljive nove raziskave mobilnih telefonov trdijo, da lahko zmanjšajo število semenčic pri moških do 30%.",Uporaba mobilnih telefonov lahko vpliva na plodnost moških.,entailment,56
"Delavci v tovarni Lufthansa Technik Automotive v Dublinu naj bi danes glasovali o spremembah delovnih praks, ki jih išče vodstvo podjetja. Podjetje za vzdrževanje letalskih motorjev je opozorilo, da bi zavrnitev predlogov ogrozila načrtovano naložbo v tovarno Rathcoole v višini 17230 milijonov EUR in ogrozila delovna mesta. LTA pravi, da ne išče nobenega odpuščanja ali znižanja plač, načrtovana naložba pa bi zagotovila prihodnost tovarne v naslednjih 15 letih. Spremembe delovne prakse se iščejo po propadu pogovorov komisije za delovna razmerja o tej zadevi.",Lufthansa Technik Automotive odpusti 30 delavcev.,not_entailment,57
"Prepisuje pravila svetovne trgovine, določena s Splošnim sporazumom o carinah in trgovini (GATT) leta 1947, in od takrat spremenjena v več krogih pogajanj.",GATT je bil ustanovljen leta 1947.,not_entailment,58
"Podpredsednik Dick Cheney je v torek na senatskem dnu vrgel nespodobnost, da bi prekinil jezno izmenjavo s senatorjem Vermonta Patrickom Leahyjem, ko so se vsi senatorji zbrali na njihovi letni fotografiji.",Cheney je preklinjal senatorja Patricka Leahyja.,entailment,59
"Na splošnih volitvah maja 2005 Michael Howard ni uspel odstraniti laburistične vlade, čeprav so konservativci dobili 33 sedežev, kar je imelo najpomembnejšo vlogo pri zmanjšanju laburistične večine s 167 na 66.",Na splošnih volitvah maja 2005 so konservativci dobili 33 sedežev.,not_entailment,60
Norveški časopisni korpus je velik in samostopen korpus norveških časopisnih besedil. Zbiranje tega dinamičnega in nenehno rastočega korpusa se je začelo leta 1998.,Dagbladet je norveški časopis.,not_entailment,61
"Nizozemci, ki so vladali Indoneziji do leta 1949, so mesto Jakarta imenovali Batavia.","Nekdaj (do leta 1949) Batavia, Jakarta je največje mesto in glavno mesto Indonezije.",not_entailment,62
"Danes je bilo objavljeno ime za najnovejši film o Jamesu Bondu. 22. film, prej znan le kot &quot;Bond 22&quot;, se bo imenoval &quot;Quantum of Solace&quot;. EON Productions, ki producirajo film, so danes to objavili v studiu Pinewood Studios, kjer produkcija filma poteka že od lanskega leta. Ime filma je navdihnila kratka zgodba (istoimenska) iz filma Samo za tvoje oči ustvarjalca Bonda Iana Fleminga.",Jamesa Bonda je ustvaril Ian Fleming.,entailment,63
"Operacija želodčnega obvoda, znana tudi kot spenjanje želodca, je postala najpogostejši kirurški postopek za zdravljenje debelosti.",Debelost se zdravi medicinsko.,entailment,64
Stroški potrošnikov v ZDA so se junija znižali.,Potrošnja v ZDA se je junija poglobila.,not_entailment,65
"Nekdanjega voditelja Iraka so prejšnjo nedeljo prepeljali v bolnišnico, potem ko šestnajst dni ni hotel jesti. A po poročanju tiskovnih agencij je gladovno stavko končal s kosilom na sodišču v Bagdadu. &quot;Sadam je jedel govedino in riž ter kola s kruhom, ki jih je prinesel iz bolnišnice,&quot; je en vir dejal za tiskovno agencijo Reuters. Postil je s tremi soobdolženci in zahtevali so večjo varnost svojih zagovornikov, od katerih so trije umorjeni.","Nekateri Avstralci so se postili, da bi protestirali.",not_entailment,66
Sonia Gandhi lahko na naslednjih volitvah v Indiji premaga BJP.,Sonia Gandhi je premagala BJP.,not_entailment,67
"Izraelski premier Ariel Sharon je dejal, da je Mahmud Abas človek, s katerim lahko Izrael posluje.","Palestinski voditelj Mahmoud Abbas je morda nekdo, s katerim se lahko Izrael pogovori.",entailment,68
"Premiera Tempe Hometown bo imela vse lastnosti megahollywoodskega dogodka, vključno s prihodom rdečih preprog, lučmi Klieg, kričečimi oboževalci, paparaci in medijsko pokritost filmskih zvezd, ki jih vodijo sam Wolverine, Hugh Jackman in Liev Schreiber, Ryan Reynolds , Taylor Kitsch, Lynn Collins, will.i.am in režiser Gavin Hood. Po napornem tekmovanju, ki se je raztezalo po tisočih mestih po ZDA, se je Tempe izkazal za zmagovitega v daljnosežni, mestni ponudbi, da bi preprečil slavnostni dogodek. Župan Hugh Hallman je sam zbral skupnost, ki se je okrepila z več deset videoposnetki, objavljenimi na YouTubu.",Hugh Jackman v filmu igra vlogo Wolverine.,entailment,69
Oktobra pa je zaradi naraščajočih napetosti med vlado in opozicijskimi skupinami avtomobil bomba v Bejrutu resno poškodoval opozicijskega politika in ubil njegovega voznika.,Pripadnik opozicije se je poškodoval v napadu z avtomobilom v Bejrutu.,entailment,70
"Weinstock je skrbno pregledal na desetine študij, da bi dokazal kakršno koli povezavo med uporabo kreme za sončenje in povečanjem ali zmanjšanjem melanoma.",število kožnega raka se poveča.,not_entailment,71
"Večina ljudi pozna idejo o sv. Bernardih ali drugih psih, ki sodelujejo pri reševanju in okrevanju. Roboti lahko sodelujejo tudi v misijah iskanja in reševanja.",Roboti se uporabljajo za iskanje pogrešanih žrtev.,entailment,72
"Charlton Heston, rojen v Illinoisu, je bil 27-letni igralec z Broadwaya in televizije, ko je prispel v Hollywood na pogodbo s petimi slikami s Halom Wallisom.",Charlton Heston se je rodil v Illinoisu.,entailment,73
"Ruthin rekord ene sezone iz leta 1927 s 60 dirkami je bil neprekosljiv, dokler Roger Maris leta 1961 ni dosegel 61.",Babe Ruth je v življenju zadel 60 domačih tekem.,not_entailment,74
"Nemška tehnologija je bila uporabljena za gradnjo obstoječe šanghajske linije maglev, prve na svetu, ki se uporablja v komercialne namene.",Maglev se komercialno uporablja.,entailment,75
"SEATTLE - Vodja tolpe Združenih narodov Clay Roueche bi moral po tokratnem presenetljivem priznanju krivde zaradi zarote za tihotapljenje kokaina, marihuane in prepovedanih mamil preživeti vsaj 30 let za rešetkami, je dejal ameriški tožilec Jeffrey Sullivan. Sullivan je pred zunanjim sodiščem dejal, da bosta Rouechejevo vodstvo nasilne tolpe OZN in izpopolnjenost mednarodne zarote o mamilih dejavnik, s katerim se bo 33-letni Kanadčanin zavzel za daljšo obsodbo. Poudaril je tudi, da sporazum o priznanju krivde, dosežen z Rouechejem, ne vključuje &quot;kakršnega koli premora glede obsodbe&quot;.",Clay Roueche je star 33 let.,entailment,76
"Bakerjev glas bo nadomestil prejšnji računalniško sintetiziran glas, ki je bil prej uporabljen. BT je dejal, da je bil njegov glas izbran, saj je bil takoj prepoznaven. V 11 dneh je posnel 11.593 fraz in zvokov, ki jih je nato računalnik lahko razčlenil in znova sestavil, da je ustvaril nove besede. Nato je trajalo pet mesecev, da so te posnetke obdelali in naredili izvedljivo storitev. BT je dejal, da ne bo nobenih ovir glede tega, kaj lahko &quot;reče&quot; glas Toma Bakerja, vključno z nesramnimi besedami. &quot;Najbolj me privlači misel, da bom ljudem sporočal dobre novice, ne glede na to, ali gre za drzno sporočilo, rojstnodnevno voščilo ali samo hiter pozdrav,&quot; je dejal Baker.",Tom Baker dela za BT.,entailment,77
"Za izbor kandidatov in izbiro dobitnikov nagrad za mir je odgovoren norveški Nobelov odbor. Odbor sestavlja pet članov, ki jih imenuje Storting (norveški parlament). Nagrada za mir se podeljuje v Oslu na Norveškem in ne v Stockholmu na Švedskem, tako kot druge Nobelove nagrade.",Izbrani so bili kandidati za Nobelovo nagrado za mir.,not_entailment,78
"Na afriških plažah je umrlo več kot 150 delfinov, morskih želv in kljunastih kitov.","Na afriških plažah so našli mrtve delfine, želve in kite.",entailment,79
"Endon je bil spoštovan zaradi svoje skromne, skromne osebnosti. V javnosti so jo imenovali &quot;Kak Endon&quot; ali &quot;Starejša sestra Endon&quot;. Odkrila je, da ima raka leta 2002, potem ko je bila sestri dvojčici Noraini prej diagnosticirana bolezen. Noraini je umrla leta 2003. Endonu so odstranili dojke in redno potoval v ZDA na zdravljenje. V Malezijo se je iz Los Angelesa vrnila 1. oktobra po petih krogih kemoterapije od julija. Endon je bil globoko vključen v programe ozaveščanja o raku dojk, ki je glavni vzrok smrtnih primerov za malezijske ženske zaradi bolezni. Rekla je, da se noče smilovati in se ji je posrečilo, da je lahko dobila najboljšo zdravstveno oskrbo.",Noraini je imela sestro dvojčico po imenu Endon.,entailment,80
"Tožniki v tej zadnji tožbi trdijo, da so Lee, Perlmutter, Arthur Lieberman in Avi Arad zarotili v slabi veri, da bi prikrili in prisvojili finančne interese v Leejevih stvaritvah, dodeljenih Stan Lee Media leta 1998. V propadu SLM je bil nekdanji predsednik Peter F. Paul, ki je bežal. Braziliji, prispevki Billu in Hillary Clinton, Pavlova izročitev in še več. Leta 2007 je SLM vložil tožbo v višini 5 milijard dolarjev, v kateri je zahteval solastništvo vseh stvaritev Stana Leeja za Marvel.",Hillary Clinton je Billova sestra.,not_entailment,81
"Alex Da Silva, inštruktor plesa salse in koreograf za Foxov film &quot;So You Think You Can Dance&quot;, je bil v soboto aretiran zaradi suma spolnega napada na štiri njegove učence, so sporočili s policijske uprave v Los Angelesu. 41-letni Da Silva je obtožen, da je v zadnjih šestih letih napadel študente v svojih dveh domovih v dolini San Fernando, je dejala policija. Pridržali so ga namesto varščine v višini 3,8 milijona dolarjev. Oblasti so sporočile, da so bile štiri žrtve v času napadov vsi učenci Da Silve.",Alex Da Silva je študent plesa salse.,not_entailment,82
